household_key,base_visits,base_spend,median_gap,p90_gap,gap_iqr,high_value,churned
1,25,1554.99,9.0,13.7,3.25,False,False
2,27,967.49,7.0,17.5,10.0,False,False
3,27,1889.32,6.0,15.5,8.5,False,False
4,17,831.6400000000001,13.0,21.5,7.0,False,False
5,14,421.85,14.0,34.2,10.0,False,False
6,85,2673.68,2.0,5.0,1.25,True,False
7,14,660.43,10.0,32.0,9.0,False,False
8,36,1673.87,6.0,12.0,6.0,False,False
13,60,3479.8900000000003,4.0,7.0,4.0,True,False
14,22,552.2100000000002,6.0,27.0,9.0,False,False
16,47,812.0999999999999,4.0,8.0,3.0,False,False
17,44,1745.93,4.0,9.800000000000004,4.0,False,False
18,43,2402.8599999999997,5.0,10.0,4.0,True,False
19,73,2626.26,3.0,6.0,2.25,True,False
20,80,1656.38,2.0,3.200000000000003,1.0,False,False
22,32,1656.3899999999999,7.0,13.0,3.5,False,False
23,41,1376.0499999999997,5.0,11.200000000000003,6.0,False,False
24,26,674.79,5.0,20.800000000000004,7.0,False,False
25,21,868.17,10.0,16.0,8.0,False,False
26,42,744.24,2.0,11.0,4.0,False,False
27,75,1388.8100000000002,1.5,7.0,2.0,False,False
28,53,843.27,3.0,8.0,4.0,False,False
29,32,923.9200000000001,6.0,16.0,6.5,False,False
32,34,765.7800000000001,4.0,16.6,4.0,False,False
33,21,636.5200000000001,6.5,23.300000000000004,13.5,False,False
34,8,79.28,20.0,38.00000000000001,18.0,False,False
35,11,291.65999999999997,16.0,34.8,19.25,False,False
36,52,1150.1,2.0,8.0,4.0,False,False
37,14,866.8999999999999,10.0,22.000000000000004,10.0,False,False
38,13,431.87000000000006,7.5,29.400000000000002,11.25,False,True
39,19,1893.52,9.5,22.100000000000005,11.0,False,False
40,107,3722.2599999999998,2.0,3.0,2.0,True,False
41,20,646.39,8.0,21.4,15.0,False,False
42,35,837.4100000000001,7.0,8.0,0.0,False,False
43,41,541.4900000000001,4.0,11.400000000000006,6.0,False,False
44,9,390.53,30.0,34.6,9.5,False,False
45,39,547.92,4.0,13.600000000000009,4.75,False,False
46,28,2145.9900000000007,5.0,11.0,6.0,True,False
47,40,856.7800000000001,4.0,14.000000000000014,7.5,False,False
48,9,190.12,20.5,53.69999999999999,11.25,False,False
49,25,1603.6899999999998,5.0,21.7,11.0,False,False
51,27,985.0100000000001,6.0,15.5,8.25,False,False
52,47,1834.3999999999999,4.0,9.0,3.75,False,False
53,17,646.22,9.5,31.0,17.0,False,False
55,52,501.8,3.0,8.0,3.0,False,False
56,62,2319.88,3.0,7.0,4.0,True,False
57,52,1127.9,3.0,10.0,6.0,False,False
58,75,2524.7000000000003,2.5,5.0,2.0,True,False
59,16,507.21999999999997,10.0,34.8,20.5,False,False
63,15,228.62,11.5,30.400000000000002,11.0,False,False
64,57,750.87,2.0,6.0,3.0,False,False
65,30,731.83,6.0,18.2,9.0,False,False
66,14,292.22,7.0,18.6,9.0,False,False
67,58,3266.5699999999997,4.0,7.0,4.0,True,False
68,86,1310.47,2.0,6.0,3.0,False,False
69,32,2453.56,5.0,12.0,6.5,True,False
70,10,41.89,4.0,53.400000000000006,38.0,False,False
71,33,1459.53,5.0,14.0,5.5,False,False
72,39,2124.5499999999997,6.0,10.0,6.75,True,False
73,65,952.7499999999999,2.5,8.700000000000003,3.0,False,False
74,47,845.6700000000001,4.5,9.5,3.0,False,False
75,20,239.46,8.0,21.999999999999993,12.5,False,False
77,24,1571.43,6.0,14.8,6.5,False,False
78,60,639.13,2.0,7.200000000000003,3.5,False,False
79,43,1081.9199999999998,4.0,9.899999999999999,4.0,False,False
80,19,484.76,11.0,25.90000000000001,12.5,False,False
81,62,3397.8299999999995,3.0,8.0,3.0,True,False
82,22,278.48,9.0,18.0,7.0,False,False
83,37,477.00999999999993,4.0,13.5,7.25,False,False
84,10,234.55,17.0,41.400000000000006,22.0,False,False
85,91,1832.2099999999998,2.0,5.0,2.0,False,False
86,17,1564.2,13.0,27.0,11.0,False,False
88,65,4280.83,3.0,7.0,3.0,True,False
92,22,445.02000000000004,8.0,17.0,10.0,False,False
