household_key,first_alert,n_episodes,backlog,high_value,churned,alert_week
2,360.0,4,False,False,False,52
3,349.0,6,True,False,False,50
4,405.0,4,False,False,False,58
5,363.0,2,False,False,False,52
6,427.0,5,False,True,False,61
7,354.0,3,False,False,False,51
8,380.0,4,False,False,False,55
13,405.0,3,False,True,False,58
14,421.0,4,False,False,False,61
16,447.0,3,False,False,False,64
17,368.0,8,False,False,False,53
18,366.0,3,False,True,False,53
19,364.0,1,False,True,False,52
23,373.0,5,False,False,False,54
24,349.0,3,True,False,False,50
25,349.0,1,True,False,False,50
26,349.0,10,True,False,False,50
27,382.0,1,False,False,False,55
28,359.0,8,False,False,False,52
29,353.0,8,False,False,False,51
32,371.0,8,False,False,False,53
33,365.0,3,False,False,False,53
34,349.0,3,True,False,False,50
35,386.0,3,False,False,False,56
36,349.0,9,True,False,False,50
37,361.0,5,False,False,False,52
38,385.0,3,False,False,True,55
39,349.0,6,True,False,False,50
40,434.0,3,False,True,False,62
41,396.0,1,False,False,False,57
42,528.0,1,False,False,False,76
43,378.0,6,False,False,False,54
45,351.0,5,False,False,False,51
46,379.0,2,False,True,False,55
47,357.0,6,False,False,False,51
48,374.0,1,False,False,False,54
49,364.0,6,False,False,False,52
51,360.0,4,False,False,False,52
52,402.0,8,False,False,False,58
53,367.0,3,False,False,False,53
55,413.0,8,False,False,False,59
56,502.0,1,False,True,False,72
57,349.0,10,True,False,False,50
58,353.0,7,False,True,False,51
59,349.0,7,True,False,False,50
63,359.0,5,False,False,False,52
64,380.0,7,False,False,False,55
65,357.0,3,False,False,False,51
66,349.0,3,True,False,False,50
67,352.0,4,False,True,False,51
68,361.0,4,False,False,False,52
69,388.0,3,False,True,False,56
70,358.0,6,False,False,False,52
71,373.0,6,False,False,False,54
72,438.0,3,False,True,False,63
73,365.0,9,False,False,False,53
74,478.0,2,False,False,False,69
75,399.0,4,False,False,False,57
77,429.0,5,False,False,False,62
78,370.0,9,False,False,False,53
79,383.0,2,False,False,False,55
80,492.0,1,False,False,False,71
81,369.0,8,False,True,False,53
82,465.0,3,False,False,False,67
83,368.0,9,False,False,False,53
84,399.0,1,False,False,False,57
85,410.0,10,False,False,False,59
86,374.0,2,False,False,False,54
88,373.0,5,False,True,False,54
92,412.0,2,False,False,False,59
93,435.0,2,False,False,True,63
95,397.0,10,False,False,False,57
96,358.0,2,False,False,True,52
97,351.0,4,False,False,False,51
98,384.0,5,False,False,False,55
99,379.0,4,False,True,False,55
101,381.0,6,False,False,False,55
103,349.0,6,True,False,False,50
104,414.0,6,False,False,False,60
105,416.0,4,False,False,False,60
107,349.0,2,True,False,False,50
108,360.0,8,False,False,False,52
109,431.0,3,False,False,False,62
110,352.0,12,False,False,False,51
111,364.0,3,False,False,False,52
113,460.0,2,False,True,False,66
114,349.0,3,True,False,False,50
115,418.0,1,False,True,False,60
116,349.0,9,False,False,False,50
117,420.0,3,False,False,False,60
119,357.0,13,False,False,False,51
121,351.0,12,False,False,False,51
122,349.0,5,True,False,False,50
123,382.0,6,False,False,False,55
124,384.0,4,False,False,False,55
125,382.0,7,False,True,False,55
126,349.0,4,True,False,False,50
127,367.0,14,False,False,False,53
131,390.0,11,False,True,False,56
132,383.0,4,False,False,False,55
133,422.0,2,False,False,False,61
134,377.0,4,False,False,False,54
135,364.0,4,False,False,False,52
136,349.0,3,True,False,False,50
137,368.0,4,False,False,False,53
138,362.0,2,False,False,False,52
140,349.0,8,True,False,False,50
141,363.0,6,False,False,False,52
142,353.0,4,False,False,False,51
143,376.0,12,False,True,False,54
144,357.0,12,False,False,False,51
145,434.0,2,False,False,False,62
146,361.0,6,False,False,False,52
147,367.0,4,False,False,False,53
148,372.0,2,False,False,False,54
149,349.0,6,True,True,False,50
151,377.0,2,False,False,False,54
152,374.0,4,False,False,False,54
153,410.0,3,False,False,False,59
154,349.0,5,True,False,False,50
155,407.0,3,False,False,False,59
156,372.0,13,False,True,False,54
157,351.0,11,False,False,False,51
158,362.0,4,False,False,False,52
159,349.0,7,True,False,False,50
160,349.0,7,True,False,False,50
161,349.0,7,True,False,False,50
162,373.0,3,False,False,False,54
164,369.0,1,False,False,False,53
165,349.0,6,True,False,False,50
166,350.0,8,False,False,False,50
168,382.0,4,False,False,False,55
169,349.0,3,True,False,False,50
170,375.0,2,False,False,False,54
171,359.0,4,False,False,False,52
172,362.0,6,False,False,False,52
174,349.0,3,True,False,False,50
176,349.0,3,True,False,False,50
179,454.0,3,False,False,True,65
180,355.0,11,False,False,False,51
181,349.0,2,True,False,False,50
183,425.0,4,False,False,False,61
184,371.0,6,False,True,False,53
185,360.0,5,False,False,False,52
187,349.0,4,True,False,False,50
188,349.0,2,True,False,False,50
189,349.0,3,True,False,False,50
190,360.0,6,False,False,False,52
192,353.0,2,False,False,False,51
193,353.0,6,False,False,False,51
194,349.0,7,True,False,False,50
195,383.0,6,False,False,False,55
196,352.0,8,False,True,False,51
197,349.0,2,True,False,False,50
198,353.0,21,False,True,False,51
199,349.0,6,True,False,False,50
202,364.0,3,False,False,False,52
203,349.0,5,True,False,False,50
204,353.0,4,False,False,False,51
205,478.0,2,False,False,False,69
208,545.0,1,False,False,False,78
209,396.0,2,False,True,False,57
210,360.0,6,False,False,False,52
211,358.0,3,False,False,False,52
212,375.0,5,False,False,False,54
215,371.0,5,False,False,False,53
216,349.0,4,True,False,False,50
217,384.0,2,False,False,False,55
218,401.0,7,False,True,False,58
219,396.0,2,False,True,False,57
220,376.0,4,False,False,False,54
222,377.0,6,False,True,False,54
223,360.0,7,False,False,False,52
224,350.0,7,False,False,False,50
225,363.0,6,False,False,False,52
226,353.0,3,False,False,False,51
227,361.0,1,False,False,False,52
228,349.0,3,True,False,False,50
230,400.0,3,False,False,False,58
232,358.0,23,False,True,False,52
234,349.0,3,True,False,False,50
235,349.0,11,True,True,False,50
236,354.0,4,False,False,False,51
