household_key,last_visit,median_gap,rule_alert_day,day35_alert_day,lead_days,rule_in_window,day35_in_window,high_value,gap_group
38,551,7.5,567,586,19,False,False,False,8~14일
93,551,5.0,562,586,24,False,False,False,5~7일
96,405,7.0,420,440,20,True,True,False,5~7일
179,522,11.0,545,557,12,True,True,False,8~14일
370,556,3.0,563,591,28,False,False,False,~4일(고빈도)
499,544,2.0,549,579,30,True,False,False,~4일(고빈도)
559,489,14.0,518,524,6,True,True,False,8~14일
572,516,1.0,519,551,32,True,True,False,~4일(고빈도)
584,481,6.0,494,516,22,True,True,False,5~7일
634,469,6.0,482,504,22,True,True,False,5~7일
645,542,8.5,560,577,17,False,False,False,8~14일
649,556,3.0,563,591,28,False,False,False,~4일(고빈도)
678,544,6.5,558,579,21,True,False,False,5~7일
760,549,6.0,562,584,22,False,False,False,5~7일
775,514,7.0,529,549,20,True,True,False,5~7일
828,500,16.0,533,535,2,True,True,False,15일+(저빈도)
870,418,7.0,433,453,20,True,True,False,5~7일
918,551,2.0,556,586,30,True,False,True,~4일(고빈도)
1028,558,26.0,611,593,-18,False,False,False,15일+(저빈도)
1031,554,3.0,561,589,28,False,False,False,~4일(고빈도)
1122,498,4.0,507,533,26,True,True,False,~4일(고빈도)
1162,433,6.5,447,468,21,True,True,False,5~7일
1232,545,24.0,594,580,-14,False,False,False,15일+(저빈도)
1371,531,9.5,551,566,15,True,False,False,8~14일
1469,550,7.0,565,585,20,False,False,False,5~7일
1516,496,23.0,543,531,-12,True,True,False,15일+(저빈도)
1538,338,9.0,357,373,16,True,True,False,8~14일
1544,546,7.5,562,581,19,False,False,False,8~14일
1915,522,13.0,549,557,8,True,True,False,8~14일
1974,510,3.0,517,545,28,True,True,True,~4일(고빈도)
2051,462,1.0,465,497,32,True,True,True,~4일(고빈도)
2106,492,8.0,509,527,18,True,True,False,8~14일
2164,400,7.0,415,435,20,True,True,False,5~7일
2166,507,5.0,518,542,24,True,True,False,5~7일
2443,453,3.0,460,488,28,True,True,False,~4일(고빈도)
2493,543,3.0,550,578,28,True,False,False,~4일(고빈도)
