household_key,alert_day,window_end,returned_after_alert,churned,high_value,campaign_in_window,redeemed_in_window,home_store,alert_week,end_week,promo_in_window
2,360,415,True,False,False,False,False,401,52,60,True
3,349,360,True,False,False,False,False,401,50,52,True
4,405,421,True,False,False,True,False,298,58,61,True
5,363,418,True,False,False,False,False,374,52,60,True
6,427,428,True,False,True,True,False,421,61,62,True
7,354,367,True,False,False,False,False,359,51,53,False
8,380,383,True,False,False,True,False,321,55,55,True
13,405,406,True,False,True,True,False,323,58,58,True
14,421,422,True,False,False,False,False,441,61,61,True
16,447,524,True,False,False,True,False,3316,64,75,False
17,368,372,True,False,False,True,False,361,53,54,True
18,366,368,True,False,True,False,False,414,53,53,True
19,364,367,True,False,True,False,False,422,52,53,True
23,373,374,True,False,False,False,False,319,54,54,True
24,349,354,True,False,False,False,False,363,50,51,True
25,349,354,True,False,False,True,False,298,50,51,True
26,349,351,True,False,False,False,False,313,50,51,True
27,382,383,True,False,False,False,False,359,55,55,True
28,359,362,True,False,False,False,False,321,52,52,True
29,353,357,True,False,False,True,False,345,51,51,True
32,371,388,True,False,False,False,False,32004,53,56,True
33,365,402,True,False,False,False,False,313,53,58,True
34,349,368,True,False,False,False,False,295,50,53,False
35,386,421,True,False,False,False,False,309,56,61,True
36,349,357,True,False,False,False,False,320,50,51,True
37,361,375,True,False,False,False,False,381,52,54,True
38,385,418,True,True,False,False,False,438,55,60,True
39,349,352,True,False,False,True,False,333,50,51,True
40,434,445,True,False,True,True,False,406,62,64,True
41,396,397,True,False,False,False,False,330,57,57,True
42,528,541,True,False,False,True,False,380,76,78,True
43,378,379,True,False,False,True,False,345,54,55,True
45,351,355,True,False,False,False,False,300,51,51,True
46,379,382,True,False,True,False,False,333,55,55,True
47,357,367,True,False,False,False,False,445,51,53,True
48,374,415,True,False,False,False,False,370,54,60,False
49,364,367,True,False,False,False,False,356,52,53,True
51,360,362,True,False,False,True,False,293,52,52,True
52,402,404,True,False,False,True,False,401,58,58,True
53,367,377,True,False,False,False,False,367,53,54,True
55,413,417,True,False,False,True,False,362,59,60,True
56,502,503,True,False,True,False,False,439,72,72,True
57,349,353,True,False,False,False,False,298,50,51,True
58,353,354,True,False,True,False,False,375,51,51,True
59,349,362,True,False,False,False,False,352,50,52,True
63,359,382,True,False,False,False,False,311,52,55,True
64,380,381,True,False,False,False,False,340,55,55,True
65,357,366,True,False,False,False,False,31862,51,53,True
66,349,397,True,False,False,False,False,441,50,57,True
67,352,357,True,False,True,False,False,391,51,51,True
68,361,362,True,False,False,True,False,32004,52,52,True
69,388,396,True,False,True,False,False,297,56,57,True
70,358,361,True,False,False,False,False,380,52,52,False
71,373,376,True,False,False,False,False,311,54,54,True
72,438,439,True,False,True,False,False,31862,63,63,True
73,365,370,True,False,False,False,False,367,53,53,True
74,478,479,True,False,False,False,False,299,69,69,True
75,399,424,True,False,False,False,False,244,57,61,False
77,429,437,True,False,False,False,False,346,62,63,True
78,370,371,True,False,False,False,False,410,53,53,True
79,383,385,True,False,False,False,False,406,55,55,True
80,492,495,True,False,False,False,False,421,71,71,True
81,369,370,True,False,True,False,False,381,53,53,True
82,465,469,True,False,False,False,False,424,67,67,True
83,368,377,True,False,False,False,False,381,53,54,True
84,399,420,True,False,False,False,False,358,57,60,True
85,410,411,True,False,False,False,False,362,59,59,True
86,374,425,True,False,False,True,False,448,54,61,True
88,373,377,True,False,True,True,False,404,54,54,True
92,412,476,True,False,False,True,False,374,59,68,True
93,435,438,True,True,False,True,True,32004,63,63,True
95,397,399,True,False,False,False,False,298,57,57,True
96,358,370,True,True,False,True,False,445,52,53,True
