household_key,median_gap,recent3_mean_gap,open_gap,widening
6,2.0,5.666666666666667,9,True
13,4.0,2.0,0,False
18,5.0,4.666666666666667,1,False
19,3.0,1.6666666666666667,1,False
40,2.0,1.3333333333333333,3,False
46,5.0,4.0,1,False
56,3.0,3.3333333333333335,4,False
58,2.5,5.0,1,True
67,4.0,4.0,1,False
69,5.0,3.3333333333333335,0,False
72,6.0,17.666666666666668,11,True
81,3.0,7.0,2,True
88,3.0,5.333333333333333,0,True
99,3.0,2.6666666666666665,1,False
113,4.0,3.6666666666666665,0,False
115,5.0,4.666666666666667,7,False
125,2.0,4.0,3,True
131,2.0,7.0,6,True
143,1.0,2.0,2,True
149,3.0,3.3333333333333335,54,False
156,1.0,3.3333333333333335,1,True
184,3.0,3.3333333333333335,6,False
196,3.0,2.0,7,False
198,1.0,6.0,6,True
209,6.0,4.333333333333333,5,False
218,4.0,9.666666666666666,0,True
219,3.0,2.0,4,False
222,4.5,9.666666666666666,3,True
232,1.0,12.333333333333334,33,True
235,3.0,5.0,10,True
242,6.0,4.666666666666667,3,False
243,3.0,2.6666666666666665,1,False
248,24.5,16.0,1,False
253,2.0,3.6666666666666665,8,True
256,5.5,6.666666666666667,1,False
262,1.0,14.0,8,True
263,2.0,2.0,4,False
300,3.0,10.666666666666666,20,True
304,3.0,6.333333333333333,0,True
317,8.0,5.333333333333333,28,False
321,5.0,10.0,15,True
324,6.0,11.333333333333334,0,True
328,3.0,5.333333333333333,0,True
351,2.0,5.0,0,True
354,3.0,3.3333333333333335,0,False
358,2.0,1.0,1,False
361,3.0,5.666666666666667,3,True
365,4.0,3.6666666666666665,8,False
367,7.0,7.0,4,False
371,4.0,6.0,5,True
374,3.0,8.0,0,True
376,1.0,2.6666666666666665,2,True
378,2.0,2.0,1,False
380,5.0,7.0,0,False
383,6.0,2.3333333333333335,12,False
387,3.0,6.666666666666667,1,True
389,2.0,1.6666666666666667,0,False
392,6.0,5.666666666666667,7,False
397,3.0,3.6666666666666665,2,False
400,2.0,4.0,1,True
411,3.0,9.666666666666666,0,True
421,3.0,9.0,10,True
425,4.0,4.666666666666667,0,False
426,3.0,4.0,1,False
437,8.5,5.666666666666667,4,False
454,2.0,1.6666666666666667,0,False
456,6.0,14.0,4,True
469,4.0,9.666666666666666,7,True
472,6.0,28.333333333333332,42,True
492,7.0,6.666666666666667,72,False
510,2.0,5.0,5,True
513,4.0,6.0,0,True
548,5.0,12.333333333333334,21,True
553,2.0,3.0,0,True
560,2.0,2.3333333333333335,3,False
569,4.0,6.666666666666667,13,True
574,7.0,7.0,1,False
575,2.0,2.3333333333333335,1,False
577,10.0,12.666666666666666,27,False
582,3.0,9.333333333333334,5,True
588,2.0,3.0,1,True
591,2.0,7.0,4,True
607,2.0,25.666666666666668,107,True
623,4.0,9.666666666666666,0,True
631,2.0,5.333333333333333,1,True
633,5.0,5.666666666666667,3,False
636,3.0,2.0,1,False
638,4.5,6.666666666666667,6,False
641,2.0,2.6666666666666665,6,False
653,2.0,11.0,3,True
660,4.0,3.0,5,False
661,2.0,1.3333333333333333,0,False
669,5.0,7.0,3,False
676,1.0,2.6666666666666665,0,True
693,3.0,7.666666666666667,9,True
695,3.0,2.3333333333333335,0,False
696,3.0,1.6666666666666667,0,False
699,5.0,9.666666666666666,1,True
702,2.0,2.6666666666666665,0,False
703,6.0,9.333333333333334,13,True
707,1.0,1.0,0,False
709,3.0,7.333333333333333,2,True
712,2.0,3.6666666666666665,3,True
718,2.0,3.0,0,True
722,4.5,4.333333333333333,0,False
728,1.5,3.3333333333333335,4,True
740,4.0,7.0,6,True
745,3.0,4.666666666666667,1,True
761,4.0,2.6666666666666665,2,False
762,1.0,1.3333333333333333,1,False
766,6.0,4.0,4,False
771,1.0,1.0,0,False
776,9.0,5.333333333333333,4,False
786,2.0,6.333333333333333,4,True
788,3.0,4.666666666666667,0,True
