household_key,pattern,high_value
38,점진형,False
93,절벽형,False
96,절벽형,False
179,점진형,False
370,절벽형,False
499,점진형,False
559,점진형,False
572,점진형,False
584,점진형,False
634,점진형,False
645,절벽형,False
649,점진형,False
678,절벽형,False
760,절벽형,False
775,점진형,False
828,절벽형,False
870,점진형,False
918,점진형,True
1028,점진형,False
1031,절벽형,False
1122,점진형,False
1162,점진형,False
1232,절벽형,False
1371,점진형,False
1469,점진형,False
1516,점진형,False
1538,절벽형,False
1544,점진형,False
1915,점진형,False
1974,절벽형,True
2051,점진형,True
2106,점진형,False
2164,절벽형,False
2166,점진형,False
2443,절벽형,False
2493,점진형,False
