household_key,alert_day,week,high_value
2,360,52,False
2,447,64,False
2,504,72,False
2,557,80,False
3,349,50,False
3,386,56,False
3,420,60,False
3,461,66,False
3,490,70,False
3,545,78,False
4,405,58,False
4,448,64,False
4,494,71,False
4,523,75,False
5,363,52,False
5,509,73,False
6,427,61,True
6,471,68,True
6,495,71,True
6,519,75,True
6,551,79,True
7,354,51,False
7,471,68,False
7,499,72,False
8,380,55,False
8,409,59,False
8,485,70,False
8,518,74,False
13,405,58,True
13,521,75,True
13,552,79,True
14,421,61,False
14,466,67,False
14,491,71,False
14,522,75,False
16,447,64,False
16,533,77,False
16,553,79,False
17,368,53,False
17,395,57,False
17,421,61,False
17,433,62,False
17,452,65,False
17,479,69,False
17,529,76,False
17,551,79,False
18,366,53,True
18,470,68,True
18,549,79,True
19,364,52,True
23,373,54,False
23,407,59,False
23,421,61,False
23,484,70,False
23,554,80,False
24,349,50,False
24,365,53,False
24,394,57,False
25,349,50,False
26,349,50,False
26,356,51,False
26,370,53,False
26,420,60,False
26,459,66,False
26,471,68,False
26,504,72,False
26,510,73,False
26,534,77,False
26,554,80,False
27,382,55,False
28,359,52,False
28,369,53,False
28,388,56,False
28,427,61,False
28,455,65,False
28,487,70,False
28,519,75,False
28,532,76,False
29,353,51,False
29,387,56,False
29,416,60,False
29,434,62,False
29,454,65,False
29,473,68,False
29,507,73,False
29,528,76,False
32,371,53,False
32,408,59,False
32,431,62,False
32,494,71,False
32,513,74,False
32,523,75,False
32,539,77,False
32,553,79,False
33,365,53,False
33,429,62,False
33,476,68,False
34,349,50,False
34,425,61,False
34,497,71,False
35,386,56,False
35,498,72,False
35,547,79,False
36,349,50,False
36,362,52,False
36,368,53,False
36,375,54,False
36,385,55,False
36,452,65,False
36,469,67,False
36,482,69,False
36,515,74,False
37,361,52,False
37,456,66,False
37,493,71,False
37,516,74,False
37,553,79,False
38,385,55,False
38,442,64,False
38,485,70,False
39,349,50,False
39,372,54,False
39,397,57,False
39,418,60,False
39,441,63,False
39,474,68,False
40,434,62,True
40,450,65,True
40,458,66,True
41,396,57,False
42,528,76,False
43,378,54,False
43,415,60,False
43,427,61,False
43,480,69,False
43,512,74,False
43,532,76,False
45,351,51,False
45,380,55,False
45,404,58,False
45,440,63,False
45,517,74,False
46,379,55,True
46,405,58,True
47,357,51,False
47,409,59,False
47,442,64,False
47,467,67,False
47,483,69,False
47,515,74,False
48,374,54,False
49,364,52,False
49,388,56,False
49,401,58,False
49,458,66,False
49,540,78,False
49,554,80,False
51,360,52,False
51,451,65,False
51,511,73,False
51,535,77,False
52,402,58,False
52,413,59,False
52,429,62,False
52,468,67,False
52,483,69,False
52,495,71,False
52,519,75,False
52,545,78,False
53,367,53,False
53,453,65,False
53,523,75,False
55,413,59,False
55,439,63,False
55,456,66,False
55,477,69,False
55,487,70,False
55,499,72,False
55,531,76,False
55,548,79,False
56,502,72,True
57,349,50,False
57,367,53,False
57,383,55,False
57,412,59,False
57,458,66,False
57,470,68,False
57,493,71,False
57,509,73,False
57,529,76,False
57,538,77,False
58,353,51,True
58,366,53,True
58,397,57,True
58,447,64,True
58,484,70,True
58,521,75,True
58,529,76,True
59,349,50,False
59,383,55,False
59,410,59,False
59,466,67,False
59,495,71,False
59,522,75,False
59,544,78,False
63,359,52,False
63,406,58,False
63,448,64,False
63,495,71,False
63,543,78,False
64,380,55,False
64,411,59,False
64,446,64,False
64,466,67,False
64,494,71,False
64,541,78,False
64,557,80,False
