rule,group,alert_on,TP,FP,FN,precision,recall,n
개인화 x1.5,전체,653,27,626,9,0.04134762633996937,0.75,2014
개인화 x1.5,고가치,87,3,84,0,0.034482758620689655,1.0,403
개인화 x2.0,전체,503,25,478,11,0.04970178926441352,0.6944444444444444,2014
개인화 x2.0,고가치,56,3,53,0,0.05357142857142857,1.0,403
개인화 x2.5,전체,434,24,410,12,0.055299539170506916,0.6666666666666666,2014
개인화 x2.5,고가치,48,3,45,0,0.0625,1.0,403
개인화 x3.0,전체,359,21,338,15,0.0584958217270195,0.5833333333333334,2014
개인화 x3.0,고가치,37,3,34,0,0.08108108108108109,1.0,403
35일 일괄,전체,219,20,199,16,0.091324200913242,0.5555555555555556,2014
35일 일괄,고가치,7,2,5,1,0.2857142857142857,0.6666666666666666,403
