household_key,drop_week,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0
6,71.0,58.0,13.0,80.0,-9.0
13,53.0,59.0,-6.0,76.0,-23.0
18,86.0,53.0,33.0,,
19,,53.0,,54.0,
40,64.0,52.0,12.0,64.0,0.0
46,,55.0,,70.0,
56,79.0,60.0,19.0,,
58,51.0,52.0,-1.0,52.0,-1.0
67,51.0,52.0,-1.0,52.0,-1.0
69,56.0,57.0,-1.0,59.0,-3.0
72,91.0,70.0,21.0,79.0,12.0
81,51.0,52.0,-1.0,52.0,-1.0
88,87.0,55.0,32.0,55.0,32.0
99,,51.0,,88.0,
113,81.0,67.0,14.0,67.0,14.0
115,,54.0,,,
125,51.0,52.0,-1.0,55.0,-4.0
131,58.0,51.0,7.0,51.0,7.0
143,77.0,51.0,26.0,51.0,26.0
149,51.0,55.0,-4.0,55.0,-4.0
156,51.0,52.0,-1.0,52.0,-1.0
184,,53.0,,54.0,
196,61.0,62.0,-1.0,78.0,-17.0
198,60.0,51.0,9.0,51.0,9.0
209,72.0,95.0,-23.0,,
218,63.0,61.0,2.0,69.0,-6.0
219,,58.0,,59.0,
222,51.0,51.0,0.0,59.0,-8.0
232,56.0,51.0,5.0,51.0,5.0
235,53.0,51.0,2.0,66.0,-13.0
242,51.0,56.0,-5.0,56.0,-5.0
243,,51.0,,74.0,
248,54.0,61.0,-7.0,61.0,-7.0
253,58.0,53.0,5.0,57.0,1.0
256,,52.0,,55.0,
262,69.0,51.0,18.0,51.0,18.0
263,,56.0,,84.0,
300,51.0,54.0,-3.0,54.0,-3.0
304,,51.0,,51.0,
317,56.0,52.0,4.0,56.0,0.0
321,79.0,56.0,23.0,77.0,2.0
324,54.0,56.0,-2.0,67.0,-13.0
328,87.0,72.0,15.0,86.0,1.0
351,,56.0,,56.0,
354,51.0,51.0,0.0,52.0,-1.0
358,91.0,56.0,35.0,56.0,35.0
361,60.0,51.0,9.0,58.0,2.0
365,53.0,51.0,2.0,61.0,-8.0
367,56.0,82.0,-26.0,,
371,,67.0,,,
374,66.0,54.0,12.0,54.0,12.0
376,55.0,52.0,3.0,58.0,-3.0
378,66.0,51.0,15.0,66.0,0.0
380,74.0,75.0,-1.0,,
383,93.0,79.0,14.0,98.0,-5.0
387,58.0,53.0,5.0,59.0,-1.0
389,,53.0,,59.0,
392,,56.0,,,
397,83.0,54.0,29.0,56.0,27.0
400,,54.0,,55.0,
411,71.0,55.0,16.0,55.0,16.0
421,51.0,51.0,0.0,51.0,0.0
425,61.0,61.0,0.0,63.0,-2.0
426,,72.0,,72.0,
437,62.0,51.0,11.0,70.0,-8.0
454,,61.0,,61.0,
456,56.0,57.0,-1.0,90.0,-34.0
469,78.0,56.0,22.0,66.0,12.0
472,51.0,51.0,0.0,56.0,-5.0
492,53.0,,,,
510,69.0,52.0,17.0,53.0,16.0
513,,55.0,,57.0,
548,63.0,51.0,12.0,53.0,10.0
553,93.0,52.0,41.0,52.0,41.0
560,,52.0,,52.0,
569,55.0,53.0,2.0,56.0,-1.0
574,,,,,
575,,52.0,,63.0,
577,65.0,61.0,4.0,61.0,4.0
582,51.0,51.0,0.0,51.0,0.0
588,,53.0,,58.0,
591,83.0,54.0,29.0,58.0,25.0
607,51.0,59.0,-8.0,59.0,-8.0
623,56.0,61.0,-5.0,61.0,-5.0
631,,57.0,,59.0,
633,59.0,51.0,8.0,72.0,-13.0
636,,57.0,,,
638,,54.0,,56.0,
641,,51.0,,68.0,
653,51.0,51.0,0.0,52.0,-1.0
660,80.0,54.0,26.0,72.0,8.0
661,97.0,,,,
669,61.0,54.0,7.0,54.0,7.0
676,,51.0,,51.0,
693,82.0,51.0,31.0,84.0,-2.0
695,,51.0,,51.0,
696,,55.0,,56.0,
699,,51.0,,51.0,
702,,55.0,,66.0,
703,,96.0,,,
707,,51.0,,51.0,
709,51.0,52.0,-1.0,52.0,-1.0
712,,52.0,,53.0,
718,93.0,53.0,40.0,,
722,,58.0,,77.0,
728,65.0,51.0,14.0,51.0,14.0
740,67.0,51.0,16.0,51.0,16.0
745,,51.0,,,
761,52.0,54.0,-2.0,54.0,-2.0
762,,55.0,,55.0,
766,,53.0,,,
771,,54.0,,54.0,
776,54.0,57.0,-3.0,68.0,-14.0
786,66.0,51.0,15.0,51.0,15.0
788,52.0,51.0,1.0,66.0,-14.0
800,59.0,51.0,8.0,51.0,8.0
804,54.0,55.0,-1.0,55.0,-1.0
806,51.0,53.0,-2.0,53.0,-2.0
820,51.0,51.0,0.0,51.0,0.0
825,59.0,51.0,8.0,58.0,1.0
831,63.0,55.0,8.0,,
840,57.0,58.0,-1.0,59.0,-2.0
844,53.0,51.0,2.0,54.0,-1.0
845,62.0,63.0,-1.0,63.0,-1.0
849,59.0,51.0,8.0,51.0,8.0
853,74.0,52.0,22.0,52.0,22.0
855,64.0,80.0,-16.0,80.0,-16.0
859,51.0,51.0,0.0,51.0,0.0
864,,61.0,,63.0,
868,,51.0,,53.0,
871,62.0,51.0,11.0,51.0,11.0
878,55.0,53.0,2.0,53.0,2.0
882,54.0,52.0,2.0,52.0,2.0
883,61.0,51.0,10.0,68.0,-7.0
886,59.0,52.0,7.0,53.0,6.0
888,64.0,64.0,0.0,71.0,-7.0
889,,56.0,,,
891,62.0,55.0,7.0,,
895,,54.0,,,
898,,55.0,,55.0,
900,,62.0,,64.0,
906,79.0,52.0,27.0,53.0,26.0
908,65.0,51.0,14.0,54.0,11.0
909,75.0,51.0,24.0,57.0,18.0
926,66.0,54.0,12.0,54.0,12.0
931,51.0,53.0,-2.0,53.0,-2.0
932,53.0,51.0,2.0,53.0,0.0
934,,51.0,,,
936,,74.0,,75.0,
956,85.0,51.0,34.0,51.0,34.0
968,56.0,51.0,5.0,51.0,5.0
972,51.0,58.0,-7.0,58.0,-7.0
973,,51.0,,52.0,
979,51.0,51.0,0.0,53.0,-2.0
982,66.0,57.0,9.0,60.0,6.0
998,68.0,55.0,13.0,64.0,4.0
1020,,51.0,,52.0,
1023,,51.0,,51.0,
1024,,51.0,,51.0,
1029,,62.0,,87.0,
1039,53.0,57.0,-4.0,66.0,-13.0
1040,81.0,83.0,-2.0,83.0,-2.0
1041,,54.0,,,
1057,58.0,59.0,-1.0,60.0,-2.0
1074,,73.0,,,
1078,56.0,51.0,5.0,52.0,4.0
1081,75.0,54.0,21.0,61.0,14.0
1091,63.0,57.0,6.0,57.0,6.0
1097,57.0,60.0,-3.0,60.0,-3.0
1098,,62.0,,,
1103,66.0,55.0,11.0,61.0,5.0
1111,,51.0,,51.0,
1130,63.0,54.0,9.0,56.0,7.0
1134,68.0,51.0,17.0,51.0,17.0
1139,67.0,68.0,-1.0,72.0,-5.0
1142,,54.0,,67.0,
1146,,56.0,,69.0,
1159,54.0,74.0,-20.0,74.0,-20.0
1166,,54.0,,54.0,
1167,75.0,53.0,22.0,55.0,20.0
1169,60.0,53.0,7.0,62.0,-2.0
1175,77.0,83.0,-6.0,83.0,-6.0
1179,,65.0,,,
1203,,,,,
1206,72.0,51.0,21.0,51.0,21.0
1211,,51.0,,58.0,
1216,63.0,51.0,12.0,92.0,-29.0
1222,59.0,51.0,8.0,52.0,7.0
1226,,76.0,,,
1228,,51.0,,51.0,
1229,56.0,56.0,0.0,56.0,0.0
1234,51.0,52.0,-1.0,91.0,-40.0
1236,60.0,51.0,9.0,51.0,9.0
1238,51.0,51.0,0.0,51.0,0.0
1240,68.0,51.0,17.0,52.0,16.0
1246,53.0,56.0,-3.0,56.0,-3.0
1247,,,,,
1248,64.0,70.0,-6.0,70.0,-6.0
1260,54.0,56.0,-2.0,72.0,-18.0
1263,65.0,52.0,13.0,54.0,11.0
1264,51.0,51.0,0.0,,
1272,,52.0,,52.0,
1274,82.0,64.0,18.0,64.0,18.0
1277,51.0,51.0,0.0,61.0,-10.0
1282,69.0,61.0,8.0,68.0,1.0
1305,67.0,51.0,16.0,52.0,15.0
1312,53.0,51.0,2.0,51.0,2.0
1314,79.0,55.0,24.0,56.0,23.0
1318,,54.0,,,
1333,,,,,
1336,53.0,51.0,2.0,53.0,0.0
1337,87.0,53.0,34.0,64.0,23.0
1349,89.0,58.0,31.0,101.0,-12.0
1352,53.0,53.0,0.0,54.0,-1.0
1367,,51.0,,55.0,
1370,,,,,
1376,67.0,51.0,16.0,74.0,-7.0
1378,,62.0,,,
1379,,54.0,,54.0,
1385,66.0,51.0,15.0,51.0,15.0
1388,,51.0,,75.0,
1391,70.0,64.0,6.0,,
1396,51.0,56.0,-5.0,60.0,-9.0
1419,55.0,53.0,2.0,53.0,2.0
1430,,51.0,,,
1437,69.0,53.0,16.0,53.0,16.0
