household_key,day,type
918,111,visit
918,113,visit
918,121,visit
918,129,visit
918,131,visit
918,133,visit
918,135,visit
918,136,visit
918,137,visit
918,138,visit
918,140,visit
918,141,visit
918,142,visit
918,143,visit
918,144,visit
918,145,visit
918,146,visit
918,149,visit
918,150,visit
918,152,visit
918,153,visit
918,158,visit
918,159,visit
918,161,visit
918,163,visit
918,165,visit
918,166,visit
918,170,visit
918,172,visit
918,173,visit
918,174,visit
918,175,visit
918,176,visit
918,180,visit
918,186,visit
918,187,visit
918,191,visit
918,195,visit
918,198,visit
918,199,visit
918,200,visit
918,204,visit
918,208,visit
918,211,visit
918,215,visit
918,219,visit
918,220,visit
918,222,visit
918,226,visit
918,227,visit
918,232,visit
918,233,visit
918,235,visit
918,236,visit
918,244,visit
918,275,visit
918,289,visit
918,345,visit
918,437,visit
918,440,visit
918,441,visit
918,442,visit
918,450,visit
918,474,visit
918,479,visit
918,501,visit
918,520,visit
918,551,visit
918,350,alert
918,586,day35_rule
918,224,campaign_start
918,323,campaign_start
918,587,campaign_start
918,259,campaign_start
918,575,campaign_start
1974,113,visit
1974,125,visit
1974,128,visit
1974,129,visit
1974,130,visit
1974,131,visit
1974,134,visit
1974,138,visit
1974,139,visit
1974,143,visit
1974,152,visit
1974,154,visit
1974,157,visit
1974,160,visit
1974,167,visit
1974,169,visit
1974,171,visit
1974,172,visit
1974,174,visit
1974,177,visit
1974,181,visit
1974,191,visit
1974,195,visit
1974,198,visit
1974,203,visit
1974,205,visit
1974,206,visit
1974,207,visit
1974,210,visit
1974,216,visit
1974,219,visit
1974,222,visit
1974,241,visit
1974,244,visit
1974,248,visit
1974,249,visit
1974,251,visit
1974,256,visit
1974,258,visit
1974,263,visit
1974,265,visit
1974,268,visit
1974,270,visit
1974,271,visit
1974,273,visit
1974,277,visit
1974,280,visit
1974,282,visit
1974,284,visit
1974,285,visit
1974,288,visit
1974,290,visit
1974,292,visit
1974,293,visit
1974,296,visit
1974,297,visit
1974,298,visit
1974,299,visit
1974,304,visit
1974,308,visit
1974,312,visit
1974,314,visit
1974,318,visit
1974,321,visit
1974,324,visit
1974,326,visit
1974,331,visit
1974,333,visit
1974,336,visit
1974,348,visit
1974,352,visit
1974,354,visit
1974,356,visit
1974,357,visit
1974,360,visit
1974,364,visit
1974,376,visit
1974,382,visit
1974,384,visit
1974,386,visit
1974,388,visit
1974,389,visit
1974,390,visit
1974,396,visit
1974,397,visit
1974,411,visit
1974,412,visit
1974,416,visit
1974,419,visit
1974,423,visit
1974,424,visit
1974,425,visit
1974,430,visit
1974,431,visit
1974,433,visit
1974,438,visit
1974,441,visit
1974,443,visit
1974,448,visit
1974,450,visit
1974,453,visit
1974,455,visit
1974,458,visit
1974,459,visit
1974,465,visit
1974,469,visit
1974,470,visit
1974,475,visit
1974,478,visit
1974,480,visit
1974,482,visit
1974,484,visit
1974,492,visit
1974,493,visit
1974,494,visit
1974,498,visit
1974,501,visit
1974,502,visit
1974,504,visit
1974,505,visit
1974,510,visit
1974,371,alert
1974,545,day35_rule
1974,224,campaign_start
1974,323,campaign_start
1974,412,campaign_start
1974,504,campaign_start
1974,587,campaign_start
232,111,visit
232,112,visit
232,113,visit
232,114,visit
232,115,visit
232,116,visit
232,117,visit
232,120,visit
232,121,visit
232,122,visit
232,123,visit
232,124,visit
232,125,visit
232,126,visit
232,128,visit
232,130,visit
232,131,visit
232,132,visit
232,133,visit
232,134,visit
232,135,visit
232,137,visit
232,138,visit
232,139,visit
232,140,visit
232,141,visit
232,142,visit
232,143,visit
232,144,visit
232,145,visit
232,146,visit
232,147,visit
232,148,visit
232,149,visit
232,150,visit
232,151,visit
232,153,visit
232,155,visit
232,156,visit
232,157,visit
232,158,visit
232,159,visit
232,160,visit
232,162,visit
232,163,visit
232,164,visit
232,165,visit
232,166,visit
232,168,visit
232,169,visit
232,170,visit
232,171,visit
232,172,visit
232,173,visit
232,174,visit
232,176,visit
232,177,visit
232,178,visit
232,179,visit
232,180,visit
232,181,visit
232,182,visit
232,183,visit
232,184,visit
232,185,visit
232,186,visit
232,187,visit
232,188,visit
232,191,visit
232,193,visit
232,194,visit
232,195,visit
232,196,visit
232,198,visit
232,199,visit
232,200,visit
232,201,visit
232,202,visit
232,203,visit
232,205,visit
232,206,visit
232,207,visit
232,208,visit
232,209,visit
232,210,visit
232,211,visit
232,212,visit
232,213,visit
232,214,visit
232,215,visit
232,216,visit
232,217,visit
232,218,visit
232,219,visit
232,220,visit
232,221,visit
232,222,visit
232,223,visit
232,225,visit
232,226,visit
232,228,visit
232,229,visit
232,231,visit
232,232,visit
232,233,visit
232,234,visit
232,239,visit
232,240,visit
232,242,visit
232,245,visit
232,246,visit
232,247,visit
232,249,visit
232,253,visit
232,254,visit
232,255,visit
232,258,visit
232,259,visit
232,260,visit
232,261,visit
232,264,visit
232,267,visit
232,268,visit
232,269,visit
232,270,visit
232,271,visit
232,272,visit
