household_key,first_day,category_diversity,department_diversity,initial_baskets,initial_active_days,initial_sales,followup_baskets,followup_active_days,followup_sales,returned,z_category_diversity,z_initial_baskets,z_initial_sales,z_first_day,diversity_group
1,51,30,6,2,2,119.75999999999999,7,7,391.87,1,0.05613789339849383,-0.8530960554590038,0.16929658031483305,-0.39477851370912337,Q3
2,103,22,6,5,5,97.71000000000002,11,11,383.6700000000001,1,-0.31340730410650747,0.14001820786671987,-0.0017454211953091985,1.001804349097431,Q2
3,113,48,7,6,6,282.00999999999993,7,7,544.79,1,0.8876145877847468,0.3608792935514903,0.8918111824259363,1.27037797656023,Q4
4,104,26,5,1,1,126.23999999999997,4,4,225.46000000000004,1,-0.1286347053540068,-1.434030658435868,0.21363945344310128,1.0286617118437111,Q3
5,85,26,5,5,5,142.23000000000002,6,4,129.82000000000002,1,-0.1286347053540068,0.14001820786671987,0.3140635046515998,0.518371819664393,Q3
6,118,59,8,14,13,485.1100000000002,24,20,564.57,1,1.3957392343541235,1.4528438539903603,1.3507247944057081,1.4046647902916296,Q4
7,23,41,6,4,4,206.91000000000003,1,1,11.97,1,0.5642625399678706,-0.12120501231222784,0.6302016662645201,-1.1467846706049605,Q3
8,65,57,7,3,3,315.70000000000005,11,9,360.1,1,1.3033529349778732,-0.44091639511014435,0.9872266638148833,-0.018775435261204846,Q4
9,104,17,6,3,3,61.15000000000001,0,0,0.0,0,-0.5443730525471333,-0.44091639511014435,-0.3942191066541661,1.0286617118437111,Q2
10,114,26,8,6,2,133.98,0,0,0.0,0,-0.1286347053540068,0.3608792935514903,0.26373544347850403,1.29723533930651,Q3
11,110,8,4,2,2,18.049999999999997,0,0,0.0,0,-0.9601113997402597,-0.8530960554590038,-1.3973712682995227,1.1898058883213904,Q1
12,72,12,4,1,1,46.58,3,3,37.269999999999996,1,-0.7753388009877591,-1.434030658435868,-0.6208441100376243,0.16922610396275442,Q2
13,101,57,7,12,9,779.7300000000004,31,21,1490.4500000000003,1,1.3033529349778732,1.2478145429013479,1.7526651457101852,0.9480896236048714,Q4
14,4,40,6,3,3,196.0800000000001,5,4,48.7,1,0.5180693902797454,-0.44091639511014435,0.5848190686218996,-1.6570745627842784,Q3
15,22,23,4,3,3,97.23999999999998,1,1,16.16,1,-0.2672141544183823,-0.44091639511014435,-0.005794389128576942,-1.1736420333512403,Q2
16,98,53,8,11,8,269.3299999999999,11,11,170.88,1,1.1185803362253726,1.1331324711924438,0.852924144527584,0.8675175353660317,Q4
17,24,41,7,8,7,544.9700000000001,17,14,616.7400000000001,1,0.5642625399678706,0.7209528108435844,1.4492421350692417,-1.1199273078586804,Q3
18,94,31,7,4,4,139.71999999999997,14,12,633.2099999999998,1,0.102331043086619,-0.12120501231222784,0.2990651091842303,0.7600880843809121,Q3
19,73,64,7,11,7,305.8399999999999,18,16,672.3299999999999,1,1.6267049827947493,1.1331324711924438,0.9603948248609547,0.19608346670903432,Q4
20,81,18,5,5,4,78.44,0,0,0.0,0,-0.4981799028590081,0.14001820786671987,-0.18599221927071735,0.4109423686792735,Q2
21,72,5,2,2,1,22.21,3,3,71.78,1,-1.0986908488046352,-0.8530960554590038,-1.2298097884228398,0.16922610396275442,Q1
22,25,45,9,5,5,256.32,10,9,513.5900000000001,1,0.7490351387203713,0.14001820786671987,0.8110813168261246,-1.0930699451124006,Q4
23,109,72,5,4,4,393.55,9,9,404.65999999999997,1,1.9962501802997505,-0.12120501231222784,1.1736848237709343,1.1629485255751104,Q4
24,59,51,7,12,11,366.4000000000002,14,14,376.65000000000003,1,1.0261940368491222,1.2478145429013479,1.1132024394295499,-0.1799196117388842,Q4
25,11,14,4,2,2,74.83,8,8,180.68,1,-0.6829525016115088,-0.8530960554590038,-0.225446993316763,-1.469073023560319,Q2
26,50,19,5,6,6,67.13000000000002,23,23,284.0,1,-0.45198675317088294,0.3608792935514903,-0.3162844977965671,-0.42163587645540324,Q2
27,35,15,5,11,11,66.67,15,13,91.0,1,-0.6367593519233836,1.1331324711924438,-0.32203176465493677,-0.8244963176496016,Q2
28,115,19,6,7,6,75.93,22,21,341.56000000000006,1,-0.45198675317088294,0.5521978682155793,-0.21322921665509342,1.32409270205279,Q2
29,34,13,3,2,2,68.41,5,4,156.08999999999997,1,-0.7291456512996339,-0.8530960554590038,-0.30049402520743146,-0.8513536803958816,Q2
30,77,47,9,9,3,244.13000000000005,1,1,4.99,1,0.8414214380966216,0.8719092510134965,0.7699097186298139,0.3035129176941539,Q4
31,99,12,4,1,1,75.39,1,1,188.29999999999998,1,-0.7753388009877591,-1.434030658435868,-0.21920504873150717,0.8943748981123115,Q2
32,49,30,6,10,9,209.99000000000012,20,18,488.19999999999993,1,0.05613789339849383,1.0084659617071041,0.6426769324933784,-0.44849323920168316,Q3
33,110,31,6,3,3,172.11000000000004,8,7,85.74,1,0.102331043086619,-0.44091639511014435,0.4748037800309903,1.1898058883213904,Q3
34,4,1,1,1,1,1.58,2,2,24.83,1,-1.2834634475571358,-1.434030658435868,-3.0934451518916326,-1.6570745627842784,Q1
35,21,14,4,1,1,75.16,3,3,47.980000000000004,1,-0.6829525016115088,-1.434030658435868,-0.22176314917615447,-1.20049939609752,Q2
36,88,29,6,13,8,208.10000000000002,49,28,555.0600000000002,1,0.00994474371036867,1.353993556877214,0.635043426850386,0.5989439079032327,Q3
37,87,10,4,4,4,154.77999999999997,0,0,0.0,0,-0.8677251003640094,-0.12120501231222784,0.38531842691959894,0.5720865451569528,Q1
