household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1,1,1,1,1,1,1,8,14,14,0.7368421052631579,436,0.9285714285714286,1.0,20,20,20,99,64,0.3535353535353535
2,1,1,1,1,1,0,15,15,9,0.75,401,0.5333333333333333,0.5666666666666667,11,13,14,37,25,0.32432432432432434
3,1,0,0,0,0,0,17,10,6,0.6,401,1.0,0.8108108108108109,15,16,20,52,39,0.25
5,1,0,0,0,0,0,13,11,7,0.5,374,1.0,0.896551724137931,2,4,5,26,4,0.8461538461538461
6,1,1,1,1,1,1,18,30,9,1.0,421,0.9,0.46296296296296297,20,20,20,72,48,0.33333333333333337
7,1,0,0,0,0,0,4,6,5,0.21739130434782608,359,0.6666666666666666,0.9607843137254902,4,4,5,25,8,0.6799999999999999
8,1,1,1,1,1,1,10,18,13,0.7647058823529411,321,0.9444444444444444,0.9361702127659575,20,20,20,48,38,0.20833333333333337
10,1,0,0,0,0,0,17,6,2,0.2,292,0.6666666666666666,0.0,3,3,3,24,7,0.7083333333333333
13,1,1,1,1,1,1,15,39,12,1.0,323,1.0,1.0,20,20,20,79,53,0.3291139240506329
14,1,1,1,1,1,0,1,28,17,0.6538461538461539,441,0.5714285714285714,0.19090909090909092,18,20,20,50,36,0.28
15,1,0,0,0,0,0,4,5,4,0.17391304347826086,402,0.6,0.78,4,5,5,25,8,0.6799999999999999
17,1,1,1,1,1,1,4,40,19,0.8260869565217391,361,0.925,0.8690476190476191,20,20,20,122,78,0.360655737704918
18,1,1,1,1,1,1,14,17,11,0.8461538461538461,414,0.8823529411764706,0.2887323943661972,20,20,20,84,66,0.2142857142857143
19,1,1,1,1,1,0,11,39,16,1.0,422,0.5128205128205128,0.25526315789473686,20,20,20,105,75,0.2857142857142857
