DEPARTMENT,department_relation,comparable_household_departments,comparable_households,mean_purchase_difference_pct_point,purchase_difference_standard_error_pct_point,mean_sales_value_difference,sales_difference_standard_error,pairs_positive_purchase_difference_pct,pairs_positive_sales_difference_pct
GROCERY,preferred_top3,1093,1093,0.9671064922146705,0.31738952622232625,0.7698551189398694,0.2268934369872079,51.60109789569991,55.62671546203111
PRODUCE,preferred_top3,635,635,0.7614948194739739,0.5078506539281943,-0.018920753444655308,0.0755797165675183,50.55118110236221,46.61417322834646
DRUG GM,preferred_top3,447,447,0.8043492037415313,0.8873365517618665,0.055589922227367854,0.24498222153828128,50.11185682326622,45.41387024608501
MEAT-PCKGD,other_purchased,411,411,1.5335426710265525,0.6905411377059814,0.11233836943606687,0.08137717398863507,52.798053527980535,49.39172749391727
MEAT,other_purchased,389,389,2.3513837724556335,0.7817074298535684,0.22195531825483336,0.15606924757303164,55.012853470437015,48.329048843187664
DELI,other_purchased,319,319,0.7006044781759584,0.9552149708374594,-0.0702906052603303,0.10473960519521103,47.64890282131661,40.43887147335423
PRODUCE,other_purchased,245,245,0.05026401808798391,0.9448432240747697,-0.012059555238384598,0.10688857465327815,49.795918367346935,46.93877551020408
MEAT-PCKGD,preferred_top3,226,226,-0.5813769219496395,0.855450735299796,-0.03225838811166525,0.13143001990932057,46.902654867256636,44.24778761061947
PASTRY,other_purchased,179,179,3.5191136025142034,1.1418339345135018,-0.045451832597021694,0.06766946447111966,53.072625698324025,44.134078212290504
MEAT,preferred_top3,157,157,1.8444757753189571,1.2068623989820237,0.07754227701812441,0.210944635200218,53.503184713375795,54.14012738853503
SEAFOOD-PCKGD,other_purchased,101,101,1.1751203055654424,1.324412521645308,0.16347212604340267,0.1381465608012344,43.56435643564357,41.584158415841586
NUTRITION,other_purchased,95,95,5.26304745479268,2.0404529138591587,0.14684523350055972,0.11818808590565714,52.63157894736842,44.21052631578947
DELI,preferred_top3,73,73,1.0180188148011697,1.8838073764539431,-0.03329838549336821,0.19714279709605728,41.0958904109589,35.61643835616438
DRUG GM,other_purchased,70,70,-4.176079102831341,2.9389058628352442,-1.1073152686351098,0.39625735071448775,38.57142857142858,31.428571428571427
PASTRY,preferred_top3,34,34,-0.34682765236296687,3.0244022510748074,-0.08948060909098365,0.206692237673076,44.11764705882353,41.17647058823529
