code_type,code,row_count,key_count
display,0,21038745,21038745
display,1,1102141,1102130
display,2,1812840,1812840
display,3,2073738,2073738
display,4,592985,592985
display,5,2575289,2575280
display,6,1816021,1816014
display,7,2362118,2362111
display,9,2699467,2699464
display,A,713180,713180
mailer,0,11534183,11534183
mailer,A,17106789,17096163
mailer,C,291059,291059
mailer,D,4467453,4464100
mailer,F,1077549,1077537
mailer,H,1560395,1559490
mailer,J,306924,306787
mailer,L,301327,301288
mailer,P,569,569
mailer,X,120823,120755
mailer,Z,19453,19453
