exposure_type,double_centered_quartile,households,household_weeks,avg_exposure_double_centered,visit_double_centered_pct_point,sales_double_centered
any_feature,1,1099,20607,-0.14713826861947407,-0.04426322324605524,-0.6306401635965926
any_feature,2,1098,20606,-0.0452186383357075,0.020295922242735662,0.4123317671001516
any_feature,3,1096,20606,0.028704009236347004,-0.4498955532709157,-0.5098520553925449
any_feature,4,1099,20606,0.1636600382735099,0.4738650023487638,0.7281910565797836
any_mailer,1,1099,20607,-0.13178555885887885,-0.5889844964502294,-1.1254227975891598
any_mailer,2,1094,20606,-0.04488991005163231,0.08620356135983391,0.39315669346837706
any_mailer,3,1090,20606,0.022235903471141686,0.016590071809911237,0.12591629861532036
any_mailer,4,1099,20606,0.15444596093385263,0.48621944643572734,0.6064044217744676
both,1,1095,20607,-0.05639533985881728,-0.38817096746146673,-0.3022612693283928
both,2,1049,20606,-0.021662762231636264,-0.09971541397858547,-0.3061137100706727
both,3,1039,20606,0.0013352906708374835,0.10013744594298277,0.012262289687454346
both,4,1099,20606,0.07672554826031999,0.38776777326121037,0.5961273583202039
coupon_mailer,1,1099,20607,-0.004520035165843845,0.0588779613642593,-0.04308533074740804
coupon_mailer,2,879,20606,-0.00011215473801221824,-0.02233666581382536,0.02751392167172324
coupon_mailer,3,601,20606,0.0007601279668272038,-0.27921812573119414,-0.8182012369916449
coupon_mailer,4,1097,20606,0.0038722812923218945,0.24267397285954623,0.8337747369841312
display,1,1037,20607,-0.0932312843933786,-0.02243867089990526,-0.2094890293886306
display,2,1064,20606,-0.025632681774334507,-0.28416769871085656,-0.43848787821121954
display,3,1062,20606,0.014139343167834825,0.19305825127394052,0.4877320756284404
display,4,1090,20606,0.10472914747257053,0.11354920727554667,0.16025499838467105
feature_mailer,1,1099,20607,-0.13008451232661614,-0.5195775604989658,-1.0630192173028876
feature_mailer,2,1095,20606,-0.044540008395529726,-0.02846737484783698,0.46436828892066195
feature_mailer,3,1090,20606,0.021650954675891957,0.058037520160674406,0.028027288253317167
feature_mailer,4,1099,20606,0.15297987898969737,0.4900326300536908,0.5706752279816429
free_mailer,1,1099,20607,-0.00893097872351792,-0.06784976773839692,-0.16347718581421106
free_mailer,2,890,20606,-0.0006496743224283043,0.04047903571819886,0.22947744638723963
free_mailer,3,610,20606,0.0010998681753391156,-0.04079308684793774,0.1867317688191289
free_mailer,4,1016,20606,0.008481218287026655,0.06816711158715846,-0.2527240959135057
