campaign_segment,visit_gap_band,exposure_quartile,households,household_weeks,avg_any_feature_exposure,visit_rate,avg_weekly_sales_value
all_weeks,01_1_week,1,1039,13922,0.06205763569500062,0.7758224393046976,59.05350237034902
all_weeks,01_1_week,2,1055,14464,0.17286448853211098,0.798741703539823,64.87630392699104
all_weeks,01_1_week,3,1060,14532,0.27215778202444946,0.8012661712083677,64.22956440957893
all_weeks,01_1_week,4,1068,13759,0.4407370785588134,0.783123773530053,58.897440947743306
all_weeks,02_2_weeks,1,800,3081,0.05782776474833473,0.6176566049983772,38.42208698474521
all_weeks,02_2_weeks,2,835,2874,0.17383015029109736,0.6183020180932498,40.62787056367436
all_weeks,02_2_weeks,3,845,2840,0.27192624421292666,0.6147887323943662,40.970080985915516
all_weeks,02_2_weeks,4,816,3103,0.4455553547541882,0.6190783113116339,36.78778601353529
all_weeks,03_3_4_weeks,1,557,1735,0.054664430400383636,0.4345821325648415,23.41032853025939
all_weeks,03_3_4_weeks,2,601,1671,0.1732499875285756,0.4554159186116098,24.74047875523637
all_weeks,03_3_4_weeks,3,610,1630,0.2719367460010428,0.454601226993865,26.512552147239244
all_weeks,03_3_4_weeks,4,580,1834,0.4470504377820826,0.4389312977099237,23.531461286804795
all_weeks,04_5plus_weeks,1,364,1869,0.05296783346230101,0.18566078116639914,7.442188336008555
all_weeks,04_5plus_weeks,2,385,1597,0.1751069565679088,0.20350657482780213,9.868453350031317
all_weeks,04_5plus_weeks,3,363,1604,0.2720481252235357,0.18516209476309228,9.040349127182047
all_weeks,04_5plus_weeks,4,365,1910,0.460597606855586,0.19109947643979058,8.216999999999993
campaign_active,01_1_week,1,811,5429,0.0632821953871216,0.8314606741573034,70.47116411862204
campaign_active,01_1_week,2,841,5689,0.17335385178985005,0.8446124099138689,76.01379328528716
campaign_active,01_1_week,3,853,5589,0.2714650176495617,0.8418321703345858,74.55318661656823
campaign_active,01_1_week,4,826,4917,0.4351893649163034,0.8309945088468579,69.13663819402055
campaign_active,02_2_weeks,1,453,897,0.05903411681618057,0.7001114827201784,52.08030100334453
campaign_active,02_2_weeks,2,461,836,0.1744927341688675,0.6913875598086124,55.18819377990433
campaign_active,02_2_weeks,3,497,903,0.27105423190410044,0.6755260243632336,51.3461572535991
campaign_active,02_2_weeks,4,442,852,0.4381177455401149,0.6995305164319249,50.00784037558685
campaign_active,03_3_4_weeks,1,239,377,0.06102643261745183,0.4986737400530504,29.94623342175065
campaign_active,03_3_4_weeks,2,272,416,0.17290488345464083,0.46875,27.651322115384627
campaign_active,03_3_4_weeks,3,284,438,0.2749494612282616,0.5068493150684932,37.847465753424665
campaign_active,03_3_4_weeks,4,256,411,0.4427928143519284,0.4720194647201946,27.305328467153267
campaign_active,04_5plus_weeks,1,133,294,0.05904705079261937,0.2108843537414966,12.125238095238096
campaign_active,04_5plus_weeks,2,139,245,0.17489021448412737,0.2653061224489796,17.46971428571429
campaign_active,04_5plus_weeks,3,137,254,0.2686984417411305,0.2125984251968504,13.148858267716538
campaign_active,04_5plus_weeks,4,131,292,0.44808239947434986,0.22945205479452055,13.189931506849316
campaign_inactive,01_1_week,1,989,8493,0.061274857575548534,0.7402566819733899,51.75496408807261
campaign_inactive,01_1_week,2,1044,8775,0.17254722499098762,0.769002849002849,57.655656980057024
campaign_inactive,01_1_week,3,1047,8943,0.2725907307095735,0.7759141227775914,57.77773342278868
campaign_inactive,01_1_week,4,1026,8842,0.4438221394025116,0.756503053607781,53.2034652793486
campaign_inactive,02_2_weeks,1,693,2184,0.05733229872046894,0.5837912087912088,32.812463369963396
campaign_inactive,02_2_weeks,2,738,2038,0.1735583543530158,0.5883218842001963,34.65513738959763
campaign_inactive,02_2_weeks,3,727,1937,0.27233276311580745,0.586473928755808,36.13291171915335
campaign_inactive,02_2_weeks,4,704,2251,0.44837047827724064,0.5886272767658818,31.784015992892044
campaign_inactive,03_3_4_weeks,1,474,1358,0.05289824863614543,0.4167893961708395,21.59586892488957
campaign_inactive,03_3_4_weeks,2,504,1255,0.17336438059212728,0.450996015936255,23.775609561752958
campaign_inactive,03_3_4_weeks,3,498,1192,0.2708297248017775,0.4354026845637584,22.34754194630872
campaign_inactive,03_3_4_weeks,4,487,1423,0.44828015192810794,0.4293745607870696,22.441468728039357
campaign_inactive,04_5plus_weeks,1,315,1575,0.05183304622730807,0.18095238095238095,6.568019047619045
campaign_inactive,04_5plus_weeks,2,339,1352,0.1751462330549849,0.19230769230769232,8.491005917159768
campaign_inactive,04_5plus_weeks,3,315,1350,0.27267836196763157,0.18,8.26734074074074
campaign_inactive,04_5plus_weeks,4,318,1618,0.46285622277358435,0.1841779975278121,7.319536464771316
