WEEK_NO,week_start_day,week_end_day,observed_days,analysis_period
1,1,5,5,baseline
2,6,12,7,baseline
3,13,19,7,baseline
4,20,26,7,baseline
5,27,33,7,baseline
6,34,40,7,baseline
7,41,47,7,baseline
8,48,54,7,baseline
9,55,61,7,baseline
10,62,68,7,baseline
11,69,75,7,baseline
12,76,82,7,baseline
13,83,89,7,baseline
14,90,96,7,baseline
15,97,103,7,baseline
16,104,110,7,baseline
17,111,117,7,baseline
18,118,124,7,baseline
19,125,131,7,baseline
20,132,138,7,baseline
21,139,145,7,baseline
22,146,152,7,baseline
23,153,159,7,baseline
24,160,166,7,baseline
25,167,173,7,baseline
26,174,180,7,baseline
27,181,187,7,outcome
28,188,194,7,outcome
29,195,201,7,outcome
30,202,208,7,outcome
31,209,215,7,outcome
32,216,222,7,outcome
33,223,229,7,outcome
34,230,236,7,outcome
35,237,243,7,outcome
36,244,250,7,outcome
37,251,257,7,outcome
38,258,264,7,outcome
39,265,271,7,outcome
40,272,278,7,outcome
41,279,285,7,outcome
42,286,292,7,outcome
43,293,299,7,outcome
44,300,306,7,outcome
45,307,313,7,outcome
46,314,320,7,outcome
47,321,327,7,outcome
48,328,334,7,outcome
49,335,341,7,outcome
50,342,348,7,outcome
51,349,355,7,outcome
52,356,362,7,outcome
53,363,369,7,outcome
54,370,376,7,outcome
55,377,383,7,outcome
56,384,390,7,outcome
57,391,397,7,outcome
58,398,404,7,outcome
59,405,411,7,outcome
60,412,418,7,outcome
61,419,425,7,outcome
62,426,432,7,outcome
63,433,439,7,outcome
64,440,446,7,outcome
65,447,453,7,outcome
66,454,460,7,outcome
67,461,467,7,outcome
68,468,474,7,outcome
69,475,481,7,outcome
70,482,488,7,outcome
71,489,495,7,outcome
72,496,502,7,outcome
73,503,509,7,outcome
74,510,516,7,outcome
75,517,523,7,outcome
76,524,530,7,outcome
77,531,537,7,outcome
78,538,544,7,outcome
79,545,551,7,outcome
80,552,558,7,outcome
81,559,565,7,outcome
82,566,572,7,outcome
83,573,579,7,outcome
84,580,586,7,outcome
85,587,593,7,outcome
86,594,600,7,outcome
87,601,607,7,outcome
88,608,614,7,outcome
89,615,621,7,outcome
90,622,628,7,outcome
91,629,635,7,outcome
92,636,642,7,outcome
93,643,649,7,outcome
94,650,656,7,outcome
95,657,663,7,outcome
96,664,670,7,outcome
97,671,677,7,outcome
98,678,684,7,outcome
99,685,691,7,outcome
100,692,698,7,outcome
101,699,705,7,outcome
102,706,711,6,exclude_partial_week
