exposure_type,deviation_quartile,households,household_weeks,avg_exposure,avg_exposure_deviation,raw_visit_rate,visit_deviation_pct_point,raw_weekly_sales_value,sales_value_deviation,active_campaign_week_rate
any_feature,1,1085,20607,0.08896686297762824,-0.1538486896895119,0.6629785995050226,-0.4012875883599361,45.810482360362755,-0.8648192038304144,0.3381375260833697
any_feature,2,1059,20606,0.1760711707233402,-0.04950369215523853,0.7024653013685335,0.10462971949917303,54.58039405998214,0.19959849881911346,0.34853926040958944
any_feature,3,1074,20606,0.2644604927065741,0.028986923221806075,0.6957682228477142,-0.3554304571483924,54.27194991749955,-0.14420447766022815,0.34227894787925844
any_feature,4,1099,20606,0.41964793449148385,0.17437292483131814,0.6814034747161021,0.6521078003170586,49.06750897796731,0.80946715196221,0.32204212365330487
any_mailer,1,1058,20607,0.03526682790264371,-0.1400138225180339,0.6614742563206677,-0.5291405832969318,45.25901586839418,-0.9989432781740881,0.32115300626000876
any_mailer,2,1042,20606,0.10351513909219068,-0.05287476458806539,0.6998447054256042,0.10890032029505908,54.57313889158489,0.12792059270762818,0.3402407065903135
any_mailer,3,1058,20606,0.1835022497350674,0.022055607665247553,0.702077064932544,0.0027176550519229545,54.56580510530876,-0.10733238862467374,0.34727749199262353
any_mailer,4,1099,20606,0.34338512756411144,0.17083977424928526,0.679219644763661,0.41754828690672646,49.33240221294734,0.9784035523633847,0.34232747743375713
both,1,569,20607,0.0027841739848909405,-0.056354069921931496,0.6612801475226865,-0.40394040859900743,47.655759208036116,-0.5055486711635239,0.343378463628864
both,2,599,20606,0.0046560870487711795,-0.022157785445314028,0.6954770455207221,-0.3151832799508337,50.63258516936813,-0.34755353456921995,0.3459186644666602
both,3,822,20606,0.023408938134845746,-0.001382752757654872,0.6974182277006697,0.23650069559027942,53.58377899640867,0.1091369568734032,0.3478598466466078
both,4,1086,20606,0.12748364354756128,0.07989734296281467,0.6884402601184121,0.4826425960076407,51.858122391536256,0.74398978291113,0.3138406289430263
coupon_mailer,1,283,20607,0.0,-0.002728190427061242,0.6740428009899548,0.07589654001067243,47.0300019410878,-0.09628828391646897,0.32086184306303683
coupon_mailer,2,280,20606,0.0,-0.0008771569097496033,0.7013005920605648,0.00990002911773209,56.668588760555224,-0.03963675951988253,0.356109870911385
coupon_mailer,3,543,20606,0.0,-9.166885839433728e-05,0.7051344268659614,0.8893202627066693,52.837683684363675,-0.21801340062764743,0.22391536445695429
coupon_mailer,4,1099,20606,0.0037869808780578436,0.0036971485930712422,0.6621372415801223,-0.9751205150603401,47.19400174706362,0.3539431168915153,0.450111617975347
display,1,872,20607,0.04358062855086383,-0.09441853446111835,0.6643373610908915,-0.4500735995858921,48.44242102198269,-0.41271066466087236,0.3528412675304508
display,2,908,20606,0.05514816738265479,-0.02590371659198004,0.6944093953217509,-0.011776505225013478,50.387161991652604,-0.10020858002523343,0.35547898670290207
display,3,961,20606,0.11405892021709789,0.013397587502758651,0.7030961855770164,0.05616487107314552,54.7556386489372,0.15114189394674524,0.34727749199262353
display,4,1091,20606,0.2435205562977451,0.10692924563976076,0.6807725905076192,0.4057070756090489,50.14498592642889,0.36179737940405604,0.29539939823352424
feature_mailer,1,1055,20607,0.03409069219645268,-0.13764208118639812,0.6590964235453972,-0.4880542210575611,44.75123356141112,-0.9919015480176778,0.3239190566312418
feature_mailer,2,1033,20606,0.10089050161709211,-0.051893584081397846,0.700815296515578,-0.0240059529586885,55.1230835678926,0.18222991361739427,0.3485877899640881
feature_mailer,3,1056,20606,0.17947077169062275,0.021435838771821304,0.7025623604775308,0.013652981332295124,54.641212753566585,-0.1645723510951543,0.34693778511113266
feature_mailer,4,1099,20606,0.3367197489449194,0.16810650620486073,0.6801417062991362,0.4984308777378775,49.21485683781397,0.9742921220356519,0.33155391633504805
free_mailer,1,290,20607,0.0,-0.006291644598774353,0.6992284175280244,0.12002394008508396,55.28875236570108,0.1948488442438665,0.3266851070024749
free_mailer,2,289,20606,0.0,-0.0028444251164951996,0.6879064350189266,0.0801708240318344,56.009932543919085,0.09549287262609744,0.3568863437833641
free_mailer,3,527,20606,0.0,-0.0011272286752256513,0.6985829370086383,0.37484227894788225,49.57444773366952,-0.23689418615937072,0.31233621275356693
free_mailer,4,1099,20606,0.010710706044210908,0.010263603721204663,0.6568960496942639,-0.5750428677731204,42.85674269630167,-0.05345698663819607,0.35509075026691256
