CAMPAIGN,campaign_type,START_DAY,END_DAY,duration_days,targeted_households,redeeming_households,redemptions,redeemed_coupons,household_redemption_rate
1,TypeB,346,383,38,13,1,1,1,0.07692307692307693
2,TypeB,351,383,33,48,2,5,4,0.041666666666666664
3,TypeC,356,412,57,12,2,2,2,0.16666666666666666
4,TypeB,372,404,33,81,6,11,6,0.07407407407407407
5,TypeB,377,411,35,166,8,13,5,0.04819277108433735
6,TypeC,393,425,33,65,1,1,1,0.015384615384615385
7,TypeB,398,432,35,198,5,7,5,0.025252525252525252
8,TypeA,412,460,49,1076,158,372,105,0.14684014869888476
9,TypeB,435,467,33,176,20,43,14,0.11363636363636363
10,TypeB,463,495,33,123,10,15,7,0.08130081300813008
11,TypeB,477,523,47,214,6,8,6,0.028037383177570093
12,TypeB,477,509,33,170,11,26,11,0.06470588235294118
13,TypeA,504,551,48,1077,196,629,129,0.18198700092850512
14,TypeC,531,596,66,224,18,34,14,0.08035714285714286
15,TypeC,547,708,162,17,2,2,2,0.11764705882352941
16,TypeB,561,593,33,188,19,43,10,0.10106382978723404
17,TypeB,575,607,33,202,18,45,13,0.0891089108910891
18,TypeA,587,642,56,1133,214,653,121,0.18887908208296558
19,TypeB,603,635,33,130,15,29,9,0.11538461538461539
20,TypeC,615,685,71,244,20,33,15,0.08196721311475409
21,TypeB,624,656,33,65,4,5,5,0.06153846153846154
22,TypeB,624,656,33,276,17,47,12,0.06159420289855073
23,TypeB,646,684,39,183,23,60,16,0.12568306010928962
24,TypeB,659,719,61,100,7,10,2,0.07
25,TypeB,659,691,33,187,24,61,15,0.12834224598930483
26,TypeA,224,264,41,332,31,73,53,0.09337349397590361
27,TypeC,237,300,64,12,1,1,1,0.08333333333333333
28,TypeB,259,320,62,17,1,1,1,0.058823529411764705
29,TypeB,281,334,54,118,13,24,17,0.11016949152542373
30,TypeA,323,369,47,361,36,64,41,0.0997229916897507
