department_a,department_b,co_baskets,baskets_a,baskets_b,lift
MEAT,SEAFOOD-PCKGD,4511,53401,8873,2.632224697722158
MEAT-PCKGD,SEAFOOD-PCKGD,4891,58466,8873,2.606716512402255
NUTRITION,SEAFOOD-PCKGD,1297,16820,8873,2.4027772264802048
MEAT,MEAT-PCKGD,26093,53401,58466,2.3106876660140636
NUTRITION,PRODUCE,11848,16820,89026,2.1876215723216026
PRODUCE,SEAFOOD-PCKGD,6226,89026,8873,2.179173345052144
DELI,PASTRY,8198,35639,30099,2.1130041078718595
MEAT,PRODUCE,35640,53401,89026,2.072723869853103
DELI,SEAFOOD-PCKGD,2366,35639,8873,2.0686582670715943
DELI,NUTRITION,4245,35639,16820,1.9579256568685075
MEAT-PCKGD,PRODUCE,35073,58466,89026,1.863042131438982
PASTRY,SEAFOOD-PCKGD,1740,30099,8873,1.8013441925877671
DELI,PRODUCE,20612,35639,89026,1.7961713608373888
NUTRITION,PASTRY,3206,16820,30099,1.7508762976746692
DELI,MEAT,11979,35639,53401,1.7402661366404646
MEAT,NUTRITION,5530,53401,16820,1.702235933225119
DELI,MEAT-PCKGD,12745,35639,58466,1.691145412756753
PASTRY,PRODUCE,16279,30099,89026,1.679688695954456
MEAT,PASTRY,9557,53401,30099,1.6439557864632128
MEAT-PCKGD,NUTRITION,5831,58466,16820,1.6393952471660207
MEAT-PCKGD,PASTRY,10082,58466,30099,1.5840221414078635
DRUG GM,NUTRITION,9515,118195,16820,1.3232859461221076
DRUG GM,SEAFOOD-PCKGD,4955,118195,8873,1.3063034572962395
GROCERY,MEAT-PCKGD,56772,215411,58466,1.2463296844711518
GROCERY,SEAFOOD-PCKGD,8565,215411,8873,1.2389649283467274
DRUG GM,MEAT-PCKGD,30948,118195,58466,1.238226530079486
GROCERY,MEAT,51347,215411,53401,1.2341496144368533
GROCERY,PRODUCE,84148,215411,89026,1.2131906783448805
DRUG GM,MEAT,27554,118195,53401,1.2069969237655407
DRUG GM,PRODUCE,45860,118195,89026,1.2050028905543282
DELI,DRUG GM,17984,35639,118195,1.1804067471713344
DRUG GM,PASTRY,14950,118195,30099,1.1618766521204111
GROCERY,NUTRITION,15197,215411,16820,1.1596688698143396
DELI,GROCERY,32049,35639,215411,1.154226658165738
GROCERY,PASTRY,26903,215411,30099,1.1472307304380056
DRUG GM,GROCERY,95238,118195,215411,1.0342208495267347
DRUG GM,KIOSK-GAS,820,118195,22056,0.08696770273048128
GROCERY,KIOSK-GAS,117,215411,22056,0.0068086535429256025
KIOSK-GAS,NUTRITION,4,22056,16820,0.0029811048473736943
DELI,KIOSK-GAS,6,35639,22056,0.002110420474739423
KIOSK-GAS,PASTRY,1,22056,30099,0.0004164771548292762
