household_key,sales,baskets,active_weeks,products,category_diversity,first_day,last_day,discount_amount,avg_basket_value
1,4330.160000000002,86,68,677,128,51,706,803.7499999999999,50.350697674418626
2,1954.3399999999997,45,35,546,141,103,668,343.99,43.42977777777777
3,2653.2100000000005,47,37,516,110,113,703,756.15,56.451276595744694
4,1200.1100000000001,30,26,164,63,104,627,118.15,40.00366666666667
5,779.0599999999998,40,27,199,76,85,703,118.33,19.476499999999994
6,5996.1600000000035,250,84,811,154,118,707,832.3399999999999,23.984640000000013
7,3400.050000000002,59,50,829,157,23,709,518.0600000000001,57.62796610169495
8,5534.970000000002,113,72,1288,180,65,706,1108.4999999999998,48.98203539823011
9,797.4200000000001,20,19,185,72,104,689,183.09999999999997,39.871
10,234.34,9,5,65,40,114,685,24.840000000000003,26.037777777777777
11,33.39,5,5,17,14,110,412,10.98,6.678
12,266.21000000000004,7,7,75,48,72,504,32.7,38.03000000000001
13,13190.92000000001,275,87,1008,162,101,709,2013.3099999999997,47.96698181818185
14,2761.1899999999996,140,66,574,115,4,704,611.3099999999998,19.72278571428571
15,972.53,55,30,235,91,22,705,161.09,17.682363636363636
16,1512.0199999999998,98,58,282,109,98,690,172.29,15.42877551020408
17,5139.630000000001,124,65,444,122,24,689,1186.06,41.448629032258076
18,7118.9100000000035,163,81,691,144,94,711,1031.34,43.67429447852763
19,11299.610000000011,421,92,1786,177,73,711,3069.7400000000002,26.839928741092663
20,7486.110000000006,387,77,477,116,81,711,842.3199999999997,19.343953488372108
21,870.1099999999999,27,19,228,87,72,682,166.66,32.22629629629629
22,6256.040000000002,136,86,722,145,25,711,880.52,46.00029411764707
23,3158.5800000000004,110,63,450,129,109,711,278.97999999999996,28.71436363636364
24,1911.1100000000004,74,36,370,95,59,709,442.64000000000004,25.825810810810815
25,3149.65,94,64,452,115,11,705,567.3199999999998,33.50691489361702
26,1937.3900000000003,113,50,481,118,50,705,321.6400000000001,17.145044247787613
27,5736.240000000006,405,90,546,89,35,711,497.85,14.16355555555557
28,2119.6200000000003,125,67,370,114,115,702,311.19,16.956960000000002
29,1343.03,69,44,341,89,34,709,301.99,19.464202898550724
30,622.8000000000001,28,21,133,68,77,711,103.89,22.242857142857144
31,4396.9000000000015,69,43,686,137,99,710,1285.88,63.723188405797124
32,3381.820000000001,116,65,714,153,49,711,394.98,29.15362068965518
33,1200.74,52,34,257,76,110,711,274.93000000000006,23.091153846153848
34,407.38,36,27,120,58,4,709,70.83999999999999,11.31611111111111
35,1119.5099999999998,60,34,240,80,21,707,154.35999999999999,18.658499999999997
36,4898.250000000002,221,77,681,129,88,708,869.0099999999999,22.164027149321274
37,2976.66,63,46,206,82,87,710,547.44,47.248571428571424
38,706.1300000000001,27,22,133,68,102,551,61.660000000000004,26.152962962962967
39,5033.660000000004,64,50,1244,172,26,685,833.55,78.65093750000007
40,12907.890000000018,400,90,1525,195,75,710,1320.8600000000001,32.269725000000044
41,3107.1300000000006,73,58,355,89,71,707,613.9499999999999,42.563424657534256
42,1985.86,89,77,305,77,100,710,567.3199999999999,22.313033707865166
43,884.84,106,57,245,72,115,710,95.59,8.347547169811321
44,877.76,32,26,278,92,81,628,133.74,27.43
45,807.09,57,37,158,65,100,587,66.5,14.159473684210527
46,8433.430000000006,137,70,1308,197,14,711,1543.42,61.55788321167888
47,2329.13,111,61,450,135,109,708,293.54999999999995,20.983153153153154
48,1172.83,50,33,253,87,112,709,216.7,23.456599999999998
49,6445.030000000003,121,65,1044,163,61,702,1467.6399999999999,53.26471074380168
50,351.38999999999993,15,13,116,53,113,675,38.3,23.425999999999995
51,3046.86,83,58,450,112,14,710,352.69,36.70915662650602
52,5487.280000000003,139,78,1015,178,13,711,566.3,39.47683453237413
53,1962.2600000000004,56,44,332,101,73,706,382.34000000000003,35.040357142857154
54,103.09,11,11,33,19,34,495,18.529999999999998,9.371818181818183
55,1072.7900000000002,141,74,240,83,67,703,194.33999999999995,7.608439716312058
56,6691.530000000006,201,80,1107,181,96,709,1281.7300000000002,33.29119402985078
57,3105.870000000001,194,76,514,146,52,709,506.65000000000003,16.009639175257735
58,10367.080000000007,268,90,1386,184,81,711,1613.9999999999995,38.683134328358236
59,1688.33,44,29,384,123,67,684,404.48,38.37113636363636
60,400.94000000000005,8,7,98,57,91,697,216.36999999999998,50.11750000000001
61,183.79999999999998,11,11,40,23,78,695,52.91,16.709090909090907
62,359.28999999999996,33,23,184,86,66,669,75.33999999999999,10.887575757575757
63,589.6,33,30,65,34,85,710,72.64,17.866666666666667
64,3917.8100000000013,264,75,760,147,10,711,566.9,14.840189393939399
65,2042.17,122,64,423,121,36,671,239.94,16.73909836065574
66,395.95,29,18,163,70,118,685,82.78,13.653448275862068
67,9618.900000000009,227,82,1322,196,103,709,2761.7400000000016,42.374008810572725
68,4960.770000000001,553,98,962,167,5,706,1014.7900000000002,8.970650994575047
69,5704.340000000004,183,69,1190,155,86,711,1042.1299999999999,31.171256830601113
70,76.39999999999999,32,21,21,12,8,705,10.709999999999999,2.3874999999999997
71,3376.0300000000007,90,63,407,109,63,711,571.38,37.51144444444445
72,6473.430000000004,107,71,1030,171,74,694,1018.7499999999998,60.49934579439256
73,2864.1800000000007,164,56,515,115,59,662,243.29000000000002,17.464512195121955
74,2047.64,131,68,412,110,33,656,884.8300000000002,15.630839694656489
75,1167.09,64,48,148,54,89,709,189.82000000000002,18.23578125
76,315.93999999999994,16,14,103,61,44,711,76.57,19.746249999999996
77,6227.100000000004,87,66,1313,170,5,710,1293.2799999999995,71.57586206896556
78,2505.140000000001,210,81,390,94,88,709,400.63,11.929238095238098
79,3950.1200000000017,154,74,761,173,102,708,841.2200000000001,25.65012987012988
80,3002.09,94,57,824,146,53,694,873.91,31.937127659574468
81,5553.700000000002,152,73,1013,161,48,706,1231.6699999999998,36.53750000000001
82,566.51,51,46,70,30,81,708,90.53999999999999,11.108039215686274
83,1183.7400000000002,110,63,290,94,40,710,183.92000000000002,10.761272727272729
84,1208.0899999999997,52,36,336,105,45,696,152.84999999999997,23.232499999999995
85,4696.4900000000025,282,91,963,164,17,710,953.31,16.654219858156036
86,4019.4400000000023,46,33,757,153,68,673,518.88,87.37913043478265
87,1202.2999999999997,45,39,197,71,85,707,85.0,26.717777777777773
88,11615.660000000014,229,87,1994,187,87,708,2386.67,50.72340611353718
89,177.56,11,11,46,21,110,638,9.93,16.14181818181818
90,490.41,10,9,109,45,89,677,57.20999999999999,49.041000000000004
91,2899.6599999999994,181,60,463,125,56,710,302.99,16.020220994475135
92,1587.38,57,48,553,133,101,705,441.19,27.848771929824565
93,3346.7200000000007,106,71,485,107,8,551,738.3699999999999,31.57283018867925
94,442.64,36,30,119,57,87,698,110.77,12.295555555555556
95,6500.179999999999,308,87,1192,163,88,709,1979.6700000000005,21.104480519480518
96,1182.4300000000003,59,35,254,83,21,708,169.06,20.041186440677972
97,5323.950000000002,180,81,968,140,43,706,983.19,29.577500000000008
98,2547.2999999999997,205,72,683,137,1,710,528.1200000000001,12.425853658536584
99,6926.150000000001,255,86,1327,190,86,709,1226.870000000001,27.16137254901961
100,2294.62,33,27,432,99,6,691,394.27,69.53393939393939
101,6651.580000000002,242,75,574,123,116,708,2142.56,27.48586776859505
102,304.84000000000003,8,6,92,45,48,179,55.66000000000001,38.105000000000004
103,541.99,51,29,208,85,91,709,107.69,10.627254901960784
104,6546.74,128,67,1065,152,112,711,1754.68,51.14640625
105,4591.670000000002,169,74,1253,145,8,710,1351.3000000000002,27.16964497041421
106,2014.6600000000003,67,33,338,116,98,705,200.37999999999997,30.069552238805976
107,1222.8300000000002,41,22,197,77,66,682,173.36999999999998,29.825121951219515
108,2671.1600000000008,62,38,646,156,84,689,374.7699999999999,43.08322580645162
109,3501.070000000001,104,65,774,153,115,708,454.3,33.664134615384626
110,3461.320000000001,185,78,848,163,67,711,597.26,18.709837837837842
111,1515.65,51,36,480,134,13,687,374.80000000000007,29.718627450980392
112,1342.6500000000003,80,52,196,72,42,698,86.27,16.783125000000005
113,15324.95,223,88,2013,216,96,709,2294.9399999999996,68.72174887892378
114,3315.6300000000006,88,64,684,142,7,708,531.9199999999998,37.677613636363645
115,13262.100000000011,201,89,1261,182,39,708,1760.4999999999998,65.98059701492542
116,647.72,83,60,169,62,45,710,272.36,7.803855421686747
117,2568.209999999999,94,73,717,134,30,711,561.5100000000001,27.321382978723395
118,4526.210000000003,90,66,583,135,101,707,543.97,50.29122222222225
119,2593.010000000001,62,41,595,151,60,709,216.85999999999999,41.82274193548389
120,242.32000000000005,19,16,23,15,52,653,6.750000000000001,12.753684210526318
121,2225.5800000000004,112,47,625,118,114,669,405.86999999999995,19.871250000000003
122,2354.220000000001,132,62,537,136,3,671,688.71,17.835000000000008
123,3222.65,174,82,583,119,82,691,744.26,18.520977011494253
124,683.41,61,42,162,64,62,711,153.39000000000001,11.203442622950819
125,10601.50000000001,358,98,1397,189,12,704,2101.71,29.613128491620138
126,853.45,31,24,264,91,88,699,184.9,27.530645161290323
127,4658.230000000001,191,70,890,155,96,711,1446.3699999999997,24.388638743455505
128,1381.08,41,30,252,86,19,711,197.03000000000003,33.68487804878048
129,475.72999999999996,40,32,169,67,115,690,77.26,11.893249999999998
130,511.62,20,15,121,54,26,338,55.72999999999999,25.581
131,6156.220000000003,354,92,1317,195,25,709,1287.3200000000002,17.39045197740114
132,2875.24,98,59,610,123,36,705,497.03999999999996,29.339183673469385
133,3823.890000000002,75,59,741,152,103,706,915.1100000000001,50.98520000000003
134,5535.090000000003,86,57,1102,162,35,709,1239.3399999999997,64.361511627907
135,717.4999999999999,74,59,179,75,74,711,107.46000000000001,9.695945945945944
136,2804.8200000000006,77,44,773,133,110,694,613.16,36.42623376623377
137,1062.17,38,32,298,104,100,626,289.42999999999995,27.95184210526316
138,3529.1900000000005,68,51,757,162,71,708,760.7799999999999,51.899852941176476
139,3073.330000000001,83,51,594,131,75,710,526.89,37.02807228915664
140,1720.6399999999999,140,46,412,102,38,692,344.99999999999994,12.290285714285714
141,448.3399999999999,52,40,169,68,47,708,61.21999999999999,8.621923076923075
142,2324.19,176,95,258,73,18,710,396.07,13.205625
143,6574.230000000003,408,72,1244,174,98,710,1624.1100000000001,16.11330882352942
144,2126.3100000000004,88,44,495,125,95,649,462.78,24.16261363636364
145,1470.4900000000002,59,41,400,114,65,704,382.95,24.923559322033903
146,843.0200000000001,41,28,282,92,27,705,217.75999999999996,20.561463414634147
147,1487.21,36,29,520,117,64,695,717.7500000000001,41.31138888888889
148,1231.7600000000002,55,37,307,98,93,699,136.33999999999997,22.395636363636367
149,11920.930000000013,215,70,1229,169,42,651,1263.3799999999999,55.44618604651169
150,230.35000000000002,6,5,70,41,85,608,52.17999999999999,38.39166666666667
151,1226.1400000000003,49,32,284,95,116,706,375.86,25.023265306122454
152,1454.2800000000002,37,28,329,114,38,696,484.26000000000005,39.30486486486487
153,1558.65,92,54,436,82,77,702,329.33,16.941847826086956
154,867.1800000000002,30,20,218,88,112,637,134.83,28.906000000000006
155,2101.05,52,39,399,95,110,705,348.73,40.4048076923077
156,5224.069999999998,587,85,1160,180,115,710,787.53,8.899608177172057
157,2748.9500000000007,172,78,688,139,26,709,430.5800000000001,15.98226744186047
158,1869.7900000000004,180,80,247,80,115,704,556.3699999999999,10.387722222222225
159,2143.870000000001,86,53,634,120,78,697,427.9700000000001,24.92872093023257
160,1536.0900000000001,57,46,375,120,71,703,233.58999999999997,26.948947368421056
161,6071.520000000002,266,61,854,146,101,710,1208.7500000000005,22.825263157894746
162,3037.540000000001,71,60,430,118,25,711,301.99,42.782253521126776
163,272.52000000000004,17,11,104,56,64,654,36.92000000000001,16.03058823529412
164,4272.410000000002,116,64,1127,166,116,708,1092.09,36.83112068965519
165,2995.4700000000007,174,78,502,119,47,710,1034.3799999999999,17.21534482758621
166,3059.6900000000005,122,69,410,129,55,706,374.3500000000001,25.0794262295082
167,1268.02,20,18,286,114,39,709,120.15,63.400999999999996
168,510.80000000000007,37,29,129,61,22,700,61.11999999999999,13.805405405405407
169,255.58000000000004,24,14,27,18,67,675,26.479999999999997,10.649166666666668
170,2024.5100000000007,45,33,578,137,40,693,528.4799999999999,44.98911111111113
171,740.4599999999999,25,19,310,106,89,701,171.20999999999998,29.618399999999998
172,1770.87,159,73,192,84,67,709,164.31,11.13754716981132
173,234.96999999999997,10,8,51,28,70,394,41.85000000000001,23.496999999999996
174,1208.39,27,22,321,81,60,669,251.16999999999996,44.75518518518519
175,1154.0200000000002,51,34,314,99,7,655,188.94999999999996,22.627843137254906
176,788.2900000000001,23,16,177,77,114,611,151.19,34.27347826086957
177,1130.5800000000002,50,32,310,105,51,692,264.62,22.611600000000003
178,2028.47,119,41,350,100,25,711,347.18999999999994,17.04596638655462
179,620.56,38,31,143,52,73,522,142.11,16.330526315789474
180,2103.4,68,36,479,129,101,696,396.48,30.93235294117647
181,1670.8200000000004,39,24,364,106,45,592,358.7,42.84153846153847
182,1162.3400000000001,36,29,283,72,29,656,274.89,32.287222222222226
183,1560.67,136,64,355,95,12,674,199.71,11.475514705882354
184,7090.070000000004,257,85,827,166,99,711,1080.0,27.587821011673167
185,2137.6200000000003,68,40,476,120,39,705,616.39,31.435588235294123
186,59.519999999999996,3,3,13,7,101,706,3.7800000000000002,19.84
187,700.9999999999999,59,42,262,91,36,705,173.23999999999998,11.881355932203387
188,1847.62,43,31,478,98,60,696,451.4000000000001,42.96790697674418
189,801.9900000000001,38,35,149,59,79,692,86.46000000000001,21.105000000000004
190,696.2799999999999,23,17,206,76,101,669,137.98000000000002,30.273043478260863
191,552.85,34,24,182,70,23,708,149.3,16.26029411764706
192,3778.0800000000017,95,79,494,116,46,710,570.68,39.769263157894756
193,4814.660000000002,136,67,501,113,32,694,585.8,35.40191176470589
194,1882.8100000000006,73,49,473,133,37,710,285.44999999999993,25.791917808219186
195,4166.720000000001,91,57,715,146,47,711,1134.9899999999998,45.78813186813188
196,5261.190000000002,186,82,1096,153,68,711,1291.6699999999998,28.285967741935497
197,1929.2300000000005,55,43,266,83,79,710,213.91,35.0769090909091
198,8659.170000000006,461,86,1777,194,80,709,1842.0999999999997,18.783449023861184
199,667.97,54,43,165,65,71,701,132.16,12.369814814814815
200,1166.6300000000003,80,35,332,109,21,710,172.22999999999996,14.582875000000005
201,1435.1699999999998,48,29,288,87,118,704,363.64,29.899374999999996
202,964.8799999999997,37,27,240,97,57,696,161.38,26.07783783783783
203,908.8300000000002,42,30,270,90,107,710,130.64999999999998,21.638809523809527
204,929.2700000000002,57,39,311,91,92,706,237.36000000000007,16.302982456140356
205,3749.6400000000003,106,56,633,148,65,708,492.5299999999999,35.37396226415095
206,386.6,15,9,124,63,60,655,77.12,25.773333333333333
207,995.72,21,19,311,100,63,653,120.55000000000001,47.415238095238095
208,4296.330000000002,140,80,484,121,49,701,1350.1299999999997,30.68807142857144
209,6876.560000000002,196,80,921,143,95,710,1344.1200000000001,35.08448979591838
210,3772.560000000001,147,78,839,153,18,708,954.0200000000002,25.66367346938776
211,2244.0600000000004,112,70,334,90,91,710,383.1400000000001,20.036250000000003
212,3052.660000000001,109,73,864,165,1,697,458.13999999999993,28.00605504587157
213,606.5000000000001,9,8,210,77,80,675,83.64000000000001,67.3888888888889
214,2657.910000000001,86,72,464,117,113,704,524.87,30.905930232558152
215,1672.6600000000003,142,72,479,124,62,711,316.65999999999997,11.77929577464789
216,2624.5,120,70,369,123,3,711,305.87,21.870833333333334
217,2435.1200000000003,65,47,473,135,58,691,576.35,37.46338461538462
218,9211.720000000005,164,79,1116,169,109,711,1042.54,56.16902439024393
219,11884.790000000015,228,89,1405,193,60,709,1469.8799999999999,52.12627192982463
220,2525.24,91,62,491,127,38,679,508.0799999999999,27.749890109890107
221,2879.29,79,65,663,102,97,695,693.0199999999999,36.44670886075949
222,5897.9000000000015,130,76,902,146,45,709,682.53,45.36846153846155
223,2738.9800000000005,118,61,593,133,11,698,481.69,23.211694915254242
224,1600.8000000000002,56,35,429,106,48,706,517.2099999999999,28.58571428571429
225,729.8199999999999,44,34,207,84,53,674,116.11,16.58681818181818
226,1205.0600000000002,50,35,291,91,16,668,275.44000000000005,24.101200000000002
227,1390.2499999999993,135,82,288,41,55,705,709.4099999999997,10.298148148148144
228,2404.8100000000004,87,58,569,133,80,707,530.2700000000001,27.641494252873567
229,1004.89,40,33,226,91,36,692,342.81,25.12225
230,4521.010000000001,168,79,992,138,102,711,1057.78,26.910773809523818
231,325.68000000000006,9,7,91,47,29,453,111.17000000000002,36.186666666666675
232,12695.57,631,82,1931,209,73,672,2254.86,20.119762282091916
233,645.3900000000001,15,14,109,52,106,696,112.12,43.026
234,260.64,19,14,110,47,76,696,51.35,13.717894736842105
235,12156.64,200,88,1466,196,11,708,1192.29,60.783199999999994
236,1591.7800000000002,47,37,428,121,49,708,451.36999999999995,33.86765957446809
237,549.59,6,6,148,68,114,654,78.42999999999999,91.59833333333334
238,693.4000000000001,28,22,169,82,29,652,90.19999999999999,24.764285714285716
239,4671.200000000001,264,98,1226,175,27,711,1135.6799999999998,17.693939393939395
240,365.60999999999996,31,17,96,59,2,704,140.23,11.793870967741935
241,199.72999999999996,16,12,56,37,106,672,40.14,12.483124999999998
