AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,sales,baskets,active_weeks,avg_basket_value
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,1453,21661.2899999999,761,87,28.46424441524297
35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,575,11771.130000000012,356,100,33.06497191011239
35-44,A,150-174K,Homeowner,Single Male,2,None/Unknown,1710,11984.590000000007,215,84,55.74227906976748
45-54,U,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,1795,9751.73,1138,90,8.569182776801405
65+,U,50-74K,Unknown,Single Male,1,None/Unknown,362,2987.490000000001,91,78,32.82956043956045
45-54,B,35-49K,Renter,Single Female,1,None/Unknown,1397,5707.600000000002,283,88,20.168197879858663
55-64,U,Under 15K,Probable Renter,Single Male,1,None/Unknown,1038,1602.0000000000005,275,75,5.825454545454547
45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,2488,6327.510000000006,119,75,53.17235294117652
35-44,B,35-49K,Renter,2 Adults No Kids,2,None/Unknown,2041,6406.990000000003,152,70,42.151250000000026
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,526,4574.920000000002,183,78,24.999562841530064
55-64,A,Under 15K,Homeowner,Single Female,2,None/Unknown,906,7048.710000000002,382,93,18.45212041884817
45-54,U,15-24K,Unknown,2 Adults Kids,3,1,2420,4583.460000000003,102,61,44.935882352941206
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,492,7148.280000000004,117,69,61.096410256410294
45-54,U,15-24K,Homeowner,Unknown,1,None/Unknown,1549,1988.91,177,91,11.23677966101695
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,19,11299.610000000011,421,92,26.839928741092663
45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,192,3778.0800000000013,95,79,39.76926315789475
45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,118,4526.210000000003,90,66,50.29122222222225
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1412,4053.150000000002,77,58,52.63831168831171
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,283,6023.370000000005,78,57,77.22269230769237
19-24,U,50-74K,Unknown,Single Male,1,None/Unknown,2343,4627.480000000003,240,80,19.28116666666668
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,800,10426.580000000016,443,93,23.536297968397328
25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,304,8586.280000000006,304,98,28.24434210526318
45-54,U,125-149K,Homeowner,2 Adults Kids,4,2,1333,7709.850000000009,129,75,59.766279069767506
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,1935,12371.26,177,76,69.89412429378531
65+,U,50-74K,Homeowner,Single Male,1,None/Unknown,1260,11200.800000000001,168,85,66.67142857142858
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,1899,11276.80000000001,69,62,163.43188405797116
35-44,U,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,1461,7246.200000000002,290,91,24.986896551724143
55-64,U,35-49K,Unknown,Single Male,1,None/Unknown,454,8215.930000000002,356,95,23.07845505617978
35-44,B,125-149K,Unknown,Single Female,1,None/Unknown,1528,8086.550000000005,239,91,33.834937238493744
25-34,A,100-124K,Homeowner,2 Adults Kids,5+,3+,707,19194.419999999976,498,86,38.54301204819272
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2156,5874.460000000003,108,70,54.39314814814817
25-34,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,2370,5307.5199999999995,172,78,30.85767441860465
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,40,12907.890000000016,400,90,32.26972500000004
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,712,11711.020000000017,256,96,45.746171875000066
35-44,B,35-49K,Renter,Single Male,1,None/Unknown,2295,8003.990000000004,98,64,81.67336734693882
65+,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,1962,3512.550000000001,132,65,26.610227272727283
65+,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1062,1495.76,216,88,6.924814814814815
55-64,U,15-24K,Unknown,Single Male,1,None/Unknown,1402,2245.7600000000007,165,84,13.61066666666667
55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,576,3750.1200000000013,167,70,22.455808383233542
25-34,U,15-24K,Unknown,1 Adult Kids,2,1,442,3094.710000000001,214,51,14.461261682242995
45-54,A,25-34K,Renter,2 Adults No Kids,2,None/Unknown,2364,7414.100000000003,117,76,63.368376068376094
45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown,997,4646.81,92,62,50.50880434782609
25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,578,2996.690000000002,117,64,25.612735042735057
35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325,2850.58,75,55,38.007733333333334
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,1066,3114.34,245,82,12.711591836734694
25-34,B,150-174K,Homeowner,Single Male,1,None/Unknown,2233,8440.770000000004,273,89,30.918571428571443
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,1976,3546.8100000000004,165,80,21.495818181818183
45-54,A,75-99K,Homeowner,Unknown,3,1,1563,4754.880000000003,113,57,42.07858407079649
25-34,B,Under 15K,Probable Renter,Single Male,1,None/Unknown,1369,3105.710000000001,144,77,21.56743055555556
45-54,A,200-249K,Homeowner,2 Adults No Kids,2,None/Unknown,844,5399.640000000005,141,75,38.2953191489362
55-64,A,35-49K,Homeowner,2 Adults Kids,4,2,2148,3263.920000000001,124,77,26.321935483870977
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,2007,8887.750000000007,191,83,46.53272251308904
