department,sales,baskets,households,products,sales_per_buyer
GROCERY,4093814.1399991643,215411,2500,39019,1637.5256559996658
DRUG GM,1055358.0300000752,118195,2491,31523,423.6684183059314
PRODUCE,557452.1099999951,89026,2456,3117,226.9756148208449
MEAT,548786.8099999999,53401,2351,2544,233.4269715014887
KIOSK-GAS,544222.2799999998,22056,1371,16,396.95279358132734
MEAT-PCKGD,412436.7699999979,58466,2392,2427,172.42339882943057
DELI,260866.51000000763,35639,2248,2354,116.04382117438062
PASTRY,121739.85999999852,30099,2281,2149,53.37126698816244
MISC SALES TRAN,119960.0399999999,5992,1393,88,86.1163244795405
NUTRITION,97669.03999999865,16820,1719,2913,56.817358929609455
SEAFOOD-PCKGD,63093.61999999892,8873,1654,563,38.14608222490866
FLORAL,39653.339999999655,3853,1186,938,33.434519392917075
COSMETICS,32360.36999999973,5166,1286,3007,25.163584758942246
SALAD BAR,30953.29999999999,8418,1157,48,26.75306828003456
SEAFOOD,29496.919999999966,3495,836,369,35.28339712918656
SPIRITS,21670.879999999936,1922,563,377,38.49179396092351
MISC. TRANS.,10678.690000000002,2255,935,490,11.421058823529414
GARDEN CENTER,7667.8200000000015,579,308,128,24.895519480519486
TRAVEL & LEISUR,2550.3800000000006,853,483,28,5.280289855072465
CHEF SHOPPE,2290.800000000002,749,382,14,5.99685863874346
RESTAURANT,1986.7599999999995,392,149,102,13.33395973154362
COUP/STR & MFG,1027.72,816,442,39,2.325158371040724
FROZEN GROCERY,653.26,246,173,23,3.7760693641618497
AUTOMOTIVE,452.66,65,61,2,7.4206557377049185
RX,159.56,14,14,9,11.397142857142857
GM MERCH EXP,101.10000000000001,49,33,3,3.063636363636364
DAIRY DELI,73.22999999999999,53,50,3,1.4646
CNTRL/STORE SUP,49.05,21,20,4,2.4524999999999997
PHOTO,41.400000000000006,17,17,2,2.435294117647059
DELI/SNACK BAR,36.08,11,10,2,3.6079999999999997
VIDEO,34.77,3,3,2,11.590000000000002
POSTAL CENTER,24.009999999999998,20,12,3,2.000833333333333
VIDEO RENTAL,21.46,4,3,3,7.153333333333333
PHARMACY SUPPLY,16.919999999999998,6,4,1,4.2299999999999995
PORK,15.7,2,2,1,7.85
TOYS,9.84,5,4,3,2.46
HBC,9.42,4,4,1,2.355
CHARITABLE CONT,7.74,2,2,2,3.87
PROD-WHS SALES,7.52,4,2,2,3.76
MEAT-WHSE,7.0,6,5,1,1.4
HOUSEWARES,2.99,1,1,1,2.99
GRO BAKERY,2.18,1,1,2,2.18
ELECT &PLUMBING,1.0,1,1,1,1.0
