hour_of_day,baskets,avg_basket_sales,avg_products,households
0,2052,23.820253411306023,8.488304093567251,640
1,998,23.24931863727454,8.42685370741483,354
2,1118,13.343193202146692,5.273703041144902,246
3,491,21.39828920570265,7.45010183299389,169
4,372,21.724919354838708,7.266129032258065,137
5,639,20.752769953051644,4.863849765258216,211
6,1850,15.800735135135131,4.154594594594594,492
7,3782,18.070084611316748,4.550502379693284,924
8,5659,21.637331684043108,5.9701360664428345,1307
9,8227,26.384419594019693,7.922815120943236,1613
10,12033,29.98621374553312,9.371561539100806,1935
11,16031,31.243508826648362,9.91728525980912,2109
12,18517,31.859194253928834,10.097640006480532,2208
13,19319,32.777271597908765,10.400486567627723,2228
14,19847,32.215742933440836,10.32246687156749,2251
15,21627,30.956166828501424,9.99986128450548,2272
16,24876,30.08776049204057,9.764511979417913,2291
17,27446,30.203969977410207,9.825912701304379,2304
18,25732,29.698390719726433,9.807982278874553,2260
19,21987,29.279597489425598,9.652658389048074,2230
20,17797,27.76043546665167,9.149856717424285,2102
21,13387,25.51996638529919,8.335250616269516,1880
22,8466,23.33372667139147,7.834396409166076,1541
23,4231,21.074119593476702,7.548333727251241,1061
