min_weeks,comparison,households,avg_profiled_weight,avg_multistore_profiled_weight,avg_any_positive_weight,households_with_any_positive_product_pct
1,both_vs_none,1099,0.3821753961353775,0.238678724987092,0.19486091690617371,88.62602365787079
2,both_vs_none,1099,0.24142571586158643,0.1365141790569385,0.10942702812207007,74.70427661510463
3,both_vs_none,1099,0.18539028021873147,0.0523283093846741,0.019770697889703284,28.480436760691536
4,both_vs_none,1099,0.16163365767585658,0.020109095832869198,0.012256160150843862,19.563239308462236
5,both_vs_none,1099,0.14647614320730007,0.014091315734735984,0.009082840979893335,15.104640582347589
1,display_only_vs_none,1099,0.39418250108286307,0.24319529239737142,0.13929042330408606,83.43949044585987
2,display_only_vs_none,1099,0.2674817940172911,0.15310599188922683,0.0898278744620355,67.51592356687898
3,display_only_vs_none,1099,0.21344350903190004,0.0684077220203903,0.01944287908348889,27.115559599636036
4,display_only_vs_none,1099,0.1856064546566074,0.026164110220242974,0.014290406402870074,21.383075523202912
5,display_only_vs_none,1099,0.17329707539615724,0.022140646980844985,0.013505359675375932,20.382165605095544
1,mailer_only_vs_none,1099,0.41677575711697856,0.23291583078024816,0.1449004351451993,84.3494085532302
2,mailer_only_vs_none,1099,0.27539461280224203,0.13498870339461078,0.09429276595334586,69.15377616014558
3,mailer_only_vs_none,1099,0.22397075465537017,0.058760052419237686,0.017157459928239808,25.38671519563239
4,mailer_only_vs_none,1099,0.189276252818991,0.02628860343824103,0.016762849717374642,25.659690627843496
5,mailer_only_vs_none,1099,0.13779830422446182,0.01840963615616345,0.010914020632622017,18.289353958143767
