comparison,DEPARTMENT,COMMODITY_DESC,multistore_profiled_products,repeated_sales_positive_products,repeated_penetration_positive_products,repeated_any_positive_products,repeated_any_positive_product_pct,median_product_spv_difference,median_product_bpr_difference
both_vs_additive,GROCERY,VEGETABLES - SHELF STABLE,7,4,4,5,71.42857142857143,0.008368561440148924,0.003827160493827161
both_vs_additive,GROCERY,CRACKERS/MISC BKD FD,6,3,4,5,83.33333333333334,0.00596987281583034,0.007037521394834435
both_vs_additive,GROCERY,SOUP,6,2,1,2,33.33333333333333,-0.010862264697162147,-0.00316513347763348
both_vs_additive,GROCERY,MEAT - SHELF STABLE,4,1,1,1,25.0,0.005249745286383796,0.0019760819128993834
both_vs_additive,GROCERY,CHEESE,3,0,0,0,0.0,-0.014668860542808918,-0.008923016398955288
both_vs_additive,GROCERY,ISOTONIC DRINKS,3,2,1,2,66.66666666666666,0.004551931902638425,-0.004137681159420287
both_vs_additive,GROCERY,BAG SNACKS,2,0,0,0,0.0,-0.020990523765058274,-0.009623109271049955
both_vs_additive,GROCERY,BAKED BREAD/BUNS/ROLLS,2,2,1,2,100.0,0.020990403073549914,0.01978629897614864
both_vs_additive,GROCERY,BEANS - CANNED GLASS & MW,2,1,1,1,50.0,-0.003505675109077954,0.0010575202849366517
both_vs_additive,GROCERY,CANNED JUICES,2,0,1,1,50.0,-0.009673515609360212,-0.0023385241137752256
both_vs_additive,GROCERY,COLD CEREAL,2,2,2,2,100.0,0.03470162385129491,0.015703364679205016
both_vs_additive,GROCERY,CONDIMENTS/SAUCES,2,2,2,2,100.0,0.07883830012508196,0.05224018135197607
both_vs_additive,GROCERY,SALD DRSNG/SNDWCH SPRD,2,1,1,1,50.0,0.003559025991721974,0.0033802230453783876
both_vs_additive,GROCERY,SHORTENING/OIL,2,1,1,1,50.0,0.016685513682224214,0.01250743043506201
both_vs_additive,GROCERY,WAREHOUSE SNACKS,2,1,1,1,50.0,-0.005934167913214555,0.005437531573451617
both_vs_additive,GROCERY,COOKIES/CONES,1,1,1,1,100.0,0.04707257094757097,0.0018753387051220743
both_vs_additive,GROCERY,DINNER MXS:DRY,1,1,1,1,100.0,0.06888543039086517,0.008195862130072656
both_vs_additive,GROCERY,FLUID MILK PRODUCTS,1,1,1,1,100.0,0.16836150148988288,0.04128756979795421
both_vs_additive,GROCERY,MILK BY-PRODUCTS,1,0,0,0,0.0,-0.018142438583876954,-0.01475080942488341
both_vs_additive,GROCERY,PNT BTR/JELLY/JAMS,1,0,0,0,0.0,-0.0059072808833678415,0.0031492781874170126
both_vs_additive,GROCERY,REFRGRATD JUICES/DRNKS,1,1,1,1,100.0,0.0491294345369339,0.03471983002641545
both_vs_none,GROCERY,VEGETABLES - SHELF STABLE,7,1,1,1,14.285714285714285,-0.0025661745661745648,0.0017297979797979805
both_vs_none,GROCERY,CRACKERS/MISC BKD FD,6,3,4,4,66.66666666666666,0.00937772408017121,0.005746227834154459
both_vs_none,GROCERY,SOUP,6,3,4,5,83.33333333333334,0.0099088665399641,0.008296177003073555
both_vs_none,GROCERY,MEAT - SHELF STABLE,5,2,3,3,60.0,0.005715811965811966,0.004119740037330063
both_vs_none,GROCERY,CHEESE,4,4,3,4,100.0,0.01991363535719092,0.010619975765210328
both_vs_none,GROCERY,CONDIMENTS/SAUCES,4,2,2,2,50.0,-0.0011356684981684985,0.0030398218814101964
both_vs_none,GROCERY,ISOTONIC DRINKS,3,1,2,2,66.66666666666666,-0.006435719115232301,0.0017080745341614915
both_vs_none,GROCERY,BAG SNACKS,2,0,0,0,0.0,-0.004786324413486325,-0.003442219911220302
both_vs_none,GROCERY,BAKED BREAD/BUNS/ROLLS,2,0,0,0,0.0,-0.0021676219258445067,0.0005135095057279271
both_vs_none,GROCERY,BEANS - CANNED GLASS & MW,2,1,1,1,50.0,-0.0002614087301587315,-0.0017396468501235142
both_vs_none,GROCERY,CANNED JUICES,2,1,1,1,50.0,0.0070751602564102555,0.00427991452991453
both_vs_none,GROCERY,COLD CEREAL,2,1,1,1,50.0,0.008173044632986539,0.003002401219733271
both_vs_none,GROCERY,SALD DRSNG/SNDWCH SPRD,2,0,1,1,50.0,-0.0038329364711085466,-0.0005543884220354806
both_vs_none,GROCERY,SHORTENING/OIL,2,1,1,1,50.0,0.01844146654643946,0.010302495277340477
both_vs_none,GROCERY,WAREHOUSE SNACKS,2,2,2,2,100.0,0.011208470708857703,0.008639099978109264
both_vs_none,DRUG GM,CANDY - PACKAGED,1,1,1,1,100.0,0.026072427445425157,0.029040404040404044
both_vs_none,GROCERY,COOKIES/CONES,1,0,0,0,0.0,-0.006390179910044983,-0.004504872563718143
both_vs_none,GROCERY,DINNER MXS:DRY,1,0,0,0,0.0,0.0017575757575757633,0.0
both_vs_none,GROCERY,FLUID MILK PRODUCTS,1,0,0,0,0.0,-0.07045406843319933,-0.0015695903236861222
both_vs_none,GROCERY,MILK BY-PRODUCTS,1,0,0,0,0.0,-0.0013745804011641109,-0.0008623577486699657
both_vs_none,GROCERY,PNT BTR/JELLY/JAMS,1,1,1,1,100.0,0.011080059725221018,0.005434782608695652
both_vs_none,GROCERY,REFRGRATD JUICES/DRNKS,1,1,1,1,100.0,0.021788048552754433,0.017740429505135387
both_vs_none,GROCERY,SUGARS/SWEETNERS,1,1,1,1,100.0,0.04166208791208791,0.01872710622710623
both_vs_none,GROCERY,WATER - CARBONATED/FLVRD DRINK,1,1,1,1,100.0,0.009946581196581199,0.004896723646723647
display_only_vs_none,GROCERY,VEGETABLES - SHELF STABLE,9,0,0,0,0.0,-0.005836670470657401,-0.0021610917639510482
display_only_vs_none,GROCERY,SOUP,8,2,2,3,37.5,-0.0022938288563288554,-0.0006351925532960016
display_only_vs_none,GROCERY,CRACKERS/MISC BKD FD,7,2,1,2,28.57142857142857,-0.0020695586513664317,-0.002310319396232708
display_only_vs_none,GROCERY,DINNER MXS:DRY,6,1,1,1,16.666666666666664,-0.000498019959318587,-0.0003374300691599489
display_only_vs_none,GROCERY,MEAT - SHELF STABLE,6,2,5,5,83.33333333333334,0.002302388323408144,0.004011877481055767
display_only_vs_none,GROCERY,CHEESE,5,3,3,3,60.0,0.02117794486215539,0.006562415625883111
display_only_vs_none,GROCERY,BAKED BREAD/BUNS/ROLLS,4,1,1,1,25.0,-0.01221648489446025,-0.010508469762864191
display_only_vs_none,GROCERY,CONDIMENTS/SAUCES,4,0,0,0,0.0,-0.00210667470764094,-0.003677443824491312
display_only_vs_none,GROCERY,COOKIES/CONES,3,1,1,1,33.33333333333333,6.236263736263646e-05,-0.000247252747252747
display_only_vs_none,GROCERY,ISOTONIC DRINKS,3,1,0,1,33.33333333333333,0.004433727192347883,0.0
display_only_vs_none,GROCERY,SEAFOOD - SHELF STABLE,3,0,0,0,0.0,-0.00033476224497897,-0.005898326210826208
display_only_vs_none,GROCERY,SUGARS/SWEETNERS,3,2,2,2,66.66666666666666,0.011924369747899158,0.009243697478991595
display_only_vs_none,GROCERY,BAG SNACKS,2,0,0,0,0.0,-0.008734963266091453,-0.004235712429818501
display_only_vs_none,GROCERY,BEANS - CANNED GLASS & MW,2,1,1,1,50.0,0.004604292874434942,0.004589076012739182
display_only_vs_none,GROCERY,CANNED JUICES,2,1,1,2,100.0,0.006153860028860029,0.0035714285714285718
display_only_vs_none,GROCERY,COLD CEREAL,2,0,0,0,0.0,-0.0037949382992486414,-0.0037320268145572405
display_only_vs_none,GROCERY,FRUIT - SHELF STABLE,2,1,1,1,50.0,-0.012457387500454728,-0.002303254635187408
display_only_vs_none,GROCERY,SALD DRSNG/SNDWCH SPRD,2,0,0,0,0.0,-0.0029148813940792946,-0.00023786357182159316
display_only_vs_none,GROCERY,SHORTENING/OIL,2,1,1,1,50.0,0.004353036312337201,0.003673860084433207
display_only_vs_none,GROCERY,WAREHOUSE SNACKS,2,1,1,1,50.0,0.007253467783363294,0.006129751436930231
display_only_vs_none,DRUG GM,CANDY - PACKAGED,1,0,0,0,0.0,-0.015032565022696601,-0.0063990422954238735
display_only_vs_none,GROCERY,BAKING MIXES,1,0,0,0,0.0,-0.007879090233219088,-0.003754578754578755
display_only_vs_none,GROCERY,BAKING NEEDS,1,1,1,1,100.0,0.0020202020202020193,0.0010101010101010097
display_only_vs_none,GROCERY,CANNED MILK,1,1,1,1,100.0,0.010869565217391304,0.005434782608695652
display_only_vs_none,GROCERY,DRY BN/VEG/POTATO/RICE,1,0,0,0,0.0,0.0,0.0
display_only_vs_none,GROCERY,FLOUR & MEALS,1,1,1,1,100.0,0.0044444444444444444,0.003968253968253968
display_only_vs_none,GROCERY,FLUID MILK PRODUCTS,1,0,0,0,0.0,-0.10056833513172979,-0.016514079457296535
display_only_vs_none,GROCERY,HOT CEREAL,1,1,1,1,100.0,0.01546875,0.005306869369369369
display_only_vs_none,GROCERY,MILK BY-PRODUCTS,1,1,0,1,100.0,0.00871763270699029,0.005372595276813542
display_only_vs_none,GROCERY,PAPER TOWELS,1,1,1,1,100.0,0.0308641975308642,0.012345679012345678
display_only_vs_none,GROCERY,PASTA SAUCE,1,0,0,0,0.0,-0.017970121381886084,-0.007280465949820788
display_only_vs_none,GROCERY,PNT BTR/JELLY/JAMS,1,0,0,0,0.0,-0.001759671864155106,-0.0031966899820356984
