min_weeks,comparison,eligible_product_store_pairs,profiled_products,multistore_products,repeated_sales_positive_products,repeated_penetration_positive_products,repeated_any_positive_products
1,both_vs_additive,2088,510,156,48,62,69
2,both_vs_additive,1080,222,77,29,37,38
3,both_vs_additive,652,134,53,26,25,30
4,both_vs_additive,396,85,30,10,13,13
5,both_vs_additive,240,57,20,9,11,12
1,both_vs_none,2356,608,181,89,95,99
2,both_vs_none,1299,282,92,45,49,53
3,both_vs_none,847,174,60,27,31,33
4,both_vs_none,545,109,40,16,18,20
5,both_vs_none,332,81,26,14,14,15
1,display_only_vs_none,2820,810,196,80,73,85
2,display_only_vs_none,1782,451,128,40,38,44
3,display_only_vs_none,1295,322,93,27,27,32
4,display_only_vs_none,931,233,65,22,18,24
5,display_only_vs_none,666,180,46,14,10,18
1,mailer_only_vs_none,2836,828,216,81,78,89
2,mailer_only_vs_none,1775,449,133,40,40,47
3,mailer_only_vs_none,1281,314,91,27,29,33
4,mailer_only_vs_none,879,214,59,21,23,26
5,mailer_only_vs_none,597,145,40,11,10,13
