PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
819330,439,both_vs_additive,display+mailer-none,both,4,2,2,0.023974089635854342,0.0,0.014355742296918767,0.0,0.00860257896261953,0.0,0.09691895258696878,0.0,-0.023974089635854342,-0.014355742296918767,-0.00860257896261953,-0.09691895258696878,0,0
819927,292,both_vs_additive,display+mailer-none,both,3,2,2,-0.04684587813620071,0.0,-0.007280465949820788,0.0,-0.003762999452654625,0.0,-0.05196770815523548,0.0,0.04684587813620071,0.007280465949820788,0.003762999452654625,0.05196770815523548,1,1
819927,421,both_vs_additive,display+mailer-none,both,1,2,1,0.07952380952380952,0.0521875,0.047619047619047616,0.03125,0.030303030303030304,0.017857142857142856,,0.18638392857142855,-0.027336309523809527,-0.016369047619047616,-0.012445887445887448,,0,0
819927,445,both_vs_additive,display+mailer-none,both,1,4,1,0.11049141707965239,0.0,0.0666149536737772,0.0,0.047849336387348076,0.0,0.28900658761528325,0.0,-0.11049141707965239,-0.0666149536737772,-0.047849336387348076,-0.28900658761528325,0,0
819927,450,both_vs_additive,display+mailer-none,both,1,1,1,0.10392753623188405,0.0,0.04782608695652174,0.0,0.029629629629629627,0.0,,0.0,-0.10392753623188405,-0.04782608695652174,-0.029629629629629627,,0,0
821344,372,both_vs_additive,display+mailer-none,both,4,3,3,0.027523107133302038,0.012820512820512822,0.019996870251742814,0.012820512820512822,0.013073334807260936,0.006802721088435374,0.23950452960353952,0.13793103448275862,-0.014702594312789216,-0.007176357431229992,-0.006270613718825562,-0.1015734951207809,0,0
821344,384,both_vs_additive,display+mailer-none,both,3,2,2,-0.0031054954328611772,0.0,0.009015546355699816,0.0,0.007418284330049037,0.0,0.11818176594578372,0.0,0.0031054954328611772,-0.009015546355699816,-0.007418284330049037,-0.11818176594578372,1,0
821562,367,both_vs_additive,display+mailer-none,both,1,1,1,0.027656976744186046,0.0,0.028875968992248063,0.0,0.013744588744588745,0.0,0.11805555555555555,0.0,-0.027656976744186046,-0.028875968992248063,-0.013744588744588745,-0.11805555555555555,0,0
821562,381,both_vs_additive,display+mailer-none,both,3,3,3,-0.022988505747126436,0.007523809523809524,-0.011494252873563218,0.009523809523809523,-0.007575757575757576,0.006060606060606061,-0.09523809523809523,0.1111111111111111,0.03051231527093596,0.021018062397372743,0.013636363636363637,0.20634920634920634,1,1
822346,318,both_vs_additive,display+mailer-none,both,5,8,5,0.1331977225672878,0.039054437564499486,0.03449447895100069,0.031701496388028896,0.024529851184498925,0.01455484899960161,0.29161233752874965,0.21904761904761907,-0.0941432850027883,-0.0027929825629717936,-0.009975002184897315,-0.07256471848113058,0,0
822346,31782,both_vs_additive,display+mailer-none,both,1,7,1,0.007936507936507936,0.02023809523809524,0.007936507936507936,0.013095238095238096,0.0033222591362126247,0.006069511883465372,0.011816140848398913,0.08036263981737249,0.012301587301587303,0.0051587301587301595,0.002747252747252747,0.06854649896897358,1,1
822407,292,both_vs_additive,display+mailer-none,both,3,6,3,0.006106091186910148,0.02329098608590442,0.021281134986235555,0.014519056261343012,0.009459076135031441,0.008030990173847315,-0.03876605443237406,0.042995802380857796,0.01718489489899427,-0.006762078724892543,-0.0014280859611841262,0.08176185681323186,1,0
822407,313,both_vs_additive,display+mailer-none,both,3,3,3,0.0073490712074303355,0.018518518518518517,0.017202872377020985,0.018518518518518517,0.013060515873015871,0.011111111111111112,0.05498715650771369,0.04301075268817204,0.011169447311088182,0.0013156461414975326,-0.0019494047619047598,-0.011976403819541653,1,1
822407,318,both_vs_additive,display+mailer-none,both,9,10,9,0.09215712995724606,0.0874234606123151,0.030833800869275577,0.027583419332645343,0.01581342997290317,0.013924284605086695,0.17570262085089272,0.19198546192302102,-0.004733669344930969,-0.0032503815366302334,-0.001889145367816477,0.016282841072128296,0,0
