campaign18_assigned,metric,households,mean_value,median_value
0,category_recovery_28,11,0.5502174136045707,0.3927601809954751
1,category_recovery_28,56,0.6001626722663207,0.6441176268515889
0,category_recovery_56,11,0.5393358924094809,0.4354838709677419
1,category_recovery_56,56,0.6266367294062033,0.6015452759991101
0,return_rate_28,11,0.9090909090909091,1.0
1,return_rate_28,56,0.9107142857142857,1.0
0,return_rate_56,11,0.9090909090909091,1.0
1,return_rate_56,56,0.9642857142857143,1.0
0,sales_28,11,163.66636363636366,137.55
1,sales_28,56,168.17357142857148,151.57500000000002
0,sales_56,11,296.01545454545465,248.99000000000004
1,sales_56,56,333.49249999999995,273.5450000000001
0,sales_retention_28,11,0.583462419393154,0.39228136690768345
1,sales_retention_28,56,0.5243533445440715,0.44811144620406207
0,sales_retention_56,11,0.5095285349609712,0.3550495730510509
1,sales_retention_56,56,0.5181756340047255,0.45012485041970535
0,visit_days_28,11,4.2727272727272725,3.0
1,visit_days_28,56,4.232142857142857,4.0
0,visit_days_56,11,8.909090909090908,8.0
1,visit_days_56,56,8.5,8.0
0,visit_retention_28,11,0.6265704672881458,0.2833333333333333
1,visit_retention_28,56,0.5981461856306655,0.53125
0,visit_retention_56,11,0.6548398663136115,0.5402542372881356
1,visit_retention_56,56,0.5850863050931044,0.5561233403214536
