engagement_stratum,campaign18_assigned,metric,households,mean_value,median_value
1,0,category_recovery_28,4,0.7151637796616594,0.8735049751790186
1,1,category_recovery_28,19,0.710418165838946,0.7875288683602771
2,0,category_recovery_28,3,0.8111531114793334,1.0979166666666667
2,1,category_recovery_28,19,0.5716040880061307,0.6495664739884393
3,0,category_recovery_28,4,0.18956927414140984,0.17409923990798717
3,1,category_recovery_28,18,0.5139270457698607,0.37526199806705995
1,0,category_recovery_56,4,0.6315373317736778,0.7893197290756185
1,1,category_recovery_56,19,0.6548680776412689,0.6265822784810126
2,0,category_recovery_56,3,0.6551882816814082,0.7270327349524814
2,1,category_recovery_56,19,0.6385764073186957,0.6110780226325194
3,0,category_recovery_56,4,0.36024516109133853,0.36952470248827984
3,1,category_recovery_56,18,0.5842339795837812,0.5412038305951565
1,0,return_rate_28,4,1.0,1.0
1,1,return_rate_28,19,0.8421052631578947,1.0
2,0,return_rate_28,3,0.6666666666666666,1.0
2,1,return_rate_28,19,0.8947368421052632,1.0
3,0,return_rate_28,4,1.0,1.0
3,1,return_rate_28,18,1.0,1.0
1,0,return_rate_56,4,1.0,1.0
1,1,return_rate_56,19,0.9473684210526315,1.0
2,0,return_rate_56,3,0.6666666666666666,1.0
2,1,return_rate_56,19,0.9473684210526315,1.0
3,0,return_rate_56,4,1.0,1.0
3,1,return_rate_56,18,1.0,1.0
1,0,sales_28,4,223.32,260.25500000000005
1,1,sales_28,19,170.19526315789474,159.03000000000003
2,0,sales_28,3,203.67,276.83
2,1,sales_28,19,158.8905263157895,165.54999999999998
3,0,sales_28,4,74.01,72.27
3,1,sales_28,18,175.83833333333342,104.36
1,0,sales_56,4,355.8200000000001,419.72000000000014
1,1,sales_56,19,314.50578947368433,230.48000000000005
2,0,sales_56,3,315.49666666666684,318.84999999999997
2,1,sales_56,19,331.8742105263159,295.56
3,0,sales_56,4,221.60000000000002,239.26000000000005
3,1,sales_56,18,355.2422222222224,310.04499999999996
1,0,sales_retention_28,4,0.8539795458977737,1.0151220223559525
1,1,sales_retention_28,19,0.6389954395902622,0.6928898764060567
2,0,sales_retention_28,3,0.7510479436254679,0.9719752984427285
2,1,sales_retention_28,19,0.5160641023857614,0.5124050357241583
3,0,sales_retention_28,4,0.18725614971429894,0.16184009210495037
3,1,sales_retention_28,18,0.41209199982908573,0.3015658313515821
1,0,sales_retention_56,4,0.6841636257950001,0.7971109471892979
1,1,sales_retention_56,19,0.5896728088108479,0.4736725161213865
2,0,sales_retention_56,3,0.5876228962848992,0.5597556693791568
2,1,sales_retention_56,19,0.5399737366495563,0.4711117611980612
3,0,sales_retention_56,4,0.2763226731339963,0.2809738275677921
3,1,sales_retention_56,18,0.41969728558427505,0.3750778536804623
1,0,visit_days_28,4,3.25,3.0
1,1,visit_days_28,19,3.0,3.0
2,0,visit_days_28,3,7.333333333333333,10.0
2,1,visit_days_28,19,4.631578947368421,5.0
3,0,visit_days_28,4,3.0,2.5
3,1,visit_days_28,18,5.111111111111111,4.0
1,0,visit_days_56,4,6.25,5.5
1,1,visit_days_56,19,5.842105263157895,7.0
2,0,visit_days_56,3,13.333333333333334,15.0
2,1,visit_days_56,19,9.263157894736842,10.0
3,0,visit_days_56,4,8.25,8.0
3,1,visit_days_56,18,10.5,9.5
1,0,visit_retention_28,4,0.9452060931899642,0.9733870967741935
1,1,visit_retention_28,19,0.5980226721099382,0.53125
2,0,visit_retention_28,3,0.7110211653596424,0.864406779661017
2,1,visit_retention_28,19,0.6655760118824307,0.6594827586206897
3,0,visit_retention_28,4,0.24459681783270493,0.2509360599078341
3,1,visit_retention_28,18,0.5271006333034594,0.5043499511241447
1,0,visit_retention_56,4,0.9109318996415771,0.9048387096774193
1,1,visit_retention_56,19,0.5609812952981921,0.53125
2,0,visit_retention_56,3,0.7086917109368412,0.5402542372881356
2,1,visit_retention_56,19,0.6520075320344346,0.7327586206896552
3,0,visit_retention_56,4,0.35835894951822367,0.3217857142857143
3,1,visit_retention_56,18,0.5398914092163305,0.5317693059628543
