mailer_code,display_code,pair_weeks,products,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_buyer_count
A,1,3727,521,1854,0.8485779447276629,0.0,0.34773276093372685,0.04889254615457459,0.023590815781888097,0.01452456593260709,0.41427421518647706
A,2,13700,990,4235,1.3400671532846657,0.0,0.3538686131386861,0.07632234002822522,0.024651719205951966,0.014689044290706362,0.43204379562043793
A,3,8638,957,3756,0.8910303310951628,0.0,0.31014123639731417,0.050652376538706176,0.020710306154423368,0.012351717776897753,0.3661727251678629
A,4,1744,509,893,0.9770584862385321,0.0,0.30504587155963303,0.04986315208537857,0.017551903117888384,0.009480516673236194,0.36869266055045874
A,5,10415,1187,4387,0.8830177628420562,0.0,0.31089774363898226,0.05062864596383958,0.02036140643033422,0.012168160511922448,0.3600576092174748
A,6,3147,565,1754,0.9849475691134412,0.0,0.32666031140768986,0.0577841133379111,0.022371292890361327,0.013134091479465981,0.39053066412456305
A,7,13023,952,5221,1.1173715733701923,0.0,0.3687322429547723,0.06455697345069555,0.026773159725445462,0.016019035835352035,0.4622590800890732
A,9,6619,564,2924,0.9119398700710092,0.0,0.30880797703580604,0.05433747797625997,0.022634138830066614,0.013359429057985634,0.37936244145641335
C,2,143,36,124,1.6016783216783217,0.0,0.4195804195804196,0.09220364263809268,0.032429948742814386,0.0183537789338176,0.5664335664335665
C,3,234,48,195,2.096367521367521,0.0,0.405982905982906,0.11232341527598827,0.03780656339167958,0.022177031788584125,0.7051282051282052
C,5,227,48,181,0.7654625550660793,0.0,0.30837004405286345,0.042345849776366476,0.02639193206732166,0.015575432048075516,0.4669603524229075
C,7,198,38,158,1.4306565656565655,0.0,0.4494949494949495,0.07846486173513587,0.03495361743118103,0.021225072058098187,0.6414141414141414
C,9,157,33,129,1.7048407643312105,0.0,0.4840764331210191,0.09686917767478893,0.038080200246675654,0.022652441383100436,0.643312101910828
D,1,2383,226,1023,2.244888795635754,0.0,0.45572807385648345,0.132497538822873,0.0366209706258963,0.023040727746571593,0.6235837180025179
D,2,5870,356,1913,1.8039420783645674,0.0,0.45076660988074957,0.11001660281114266,0.03910678940218865,0.024292906023401662,0.6477001703577513
D,3,3485,449,1697,1.8698565279770463,0.0,0.4433285509325681,0.09767159128546538,0.03667126749371363,0.022508410629639177,0.6817790530846485
D,4,652,200,399,1.673236196319018,0.0,0.4003067484662577,0.08872807952733729,0.025982270614684992,0.015476351716467614,0.549079754601227
D,5,2535,441,1529,1.308067061143984,0.0,0.36725838264299804,0.07766067601257122,0.026815702624329685,0.01618390561039778,0.46942800788954636
D,6,2603,246,1214,1.1520668459469834,0.0,0.3807145601229351,0.06341772839030856,0.027629637279805146,0.016731264436575598,0.49481367652708413
D,7,13686,412,3347,1.7642554435189373,0.0,0.4575478591261143,0.10813058139131652,0.038584564675093094,0.02378661973659803,0.6461347362268011
D,9,3389,196,1213,1.2658837415166708,0.0,0.43847742696960756,0.07345404649476064,0.0379804602019612,0.02294070979576868,0.6521097668928888
F,1,107,47,78,1.3283177570093458,0.0,0.38317757009345793,0.08495928885018898,0.03821727333532547,0.02546143132855996,0.5700934579439252
F,3,146,60,141,0.9334246575342466,0.0,0.3835616438356164,0.052938924972599,0.022768093423655576,0.014591864144792237,0.4041095890410959
F,5,175,56,166,0.9018857142857145,0.0,0.30857142857142855,0.048813299749285693,0.02217155164750229,0.013896676793280993,0.3942857142857143
F,7,244,69,208,1.1353688524590164,0.0,0.3442622950819672,0.06769347289700114,0.02579215849597119,0.015823405090575084,0.430327868852459
F,9,102,37,82,1.0283333333333333,0.0,0.38235294117647056,0.05616907179916568,0.02665408373244937,0.016187256908100186,0.4803921568627451
H,1,427,152,379,1.1385245901639345,0.0,0.38173302107728335,0.06493952087906334,0.027193407236692994,0.017025654579018966,0.46604215456674475
H,2,1504,312,1220,1.451023936170213,0.0,0.41356382978723405,0.08360749971918147,0.030938739079942008,0.018747151934096016,0.5252659574468085
H,3,884,294,779,1.218676470588235,0.0,0.3755656108597285,0.06883474018714474,0.02682009325316867,0.016219346457172174,0.4807692307692308
H,4,171,125,162,0.990643274853801,0.0,0.2982456140350877,0.051105577573201826,0.019125419303040254,0.010779411902040292,0.38596491228070173
H,5,956,291,883,0.9686924686192468,0.0,0.3305439330543933,0.05345606509814273,0.02186752970920351,0.013581422025961437,0.3985355648535565
H,6,363,147,330,1.2846556473829203,0.0,0.39669421487603307,0.0751566971023996,0.02876765332341953,0.016569507589193583,0.49586776859504134
H,7,1687,300,1378,1.3502548903378777,0.0,0.4190871369294606,0.08077170409012562,0.03220762937311517,0.020106063429675327,0.5583876704208655
H,9,535,170,482,1.3518130841121494,0.0,0.35887850467289717,0.07509109991199027,0.026569997956886634,0.016658998458784817,0.4635514018691589
L,2,170,53,168,1.475764705882353,0.0,0.3941176470588235,0.08304194170823552,0.028221038370018423,0.016479324592408487,0.5176470588235295
L,3,230,69,187,1.0301304347826088,0.0,0.3391304347826087,0.057223227426322465,0.020212683052825718,0.01249229190276107,0.3739130434782609
L,5,277,60,218,1.1346570397111915,0.0,0.34296028880866425,0.06597188416829723,0.022831026882623076,0.0138898031601034,0.4007220216606498
L,7,174,56,172,0.7559195402298851,0.0,0.3103448275862069,0.04630366270480366,0.020716390068245782,0.011951252456389292,0.3448275862068966
L,9,145,21,85,1.190551724137931,0.0,0.3931034482758621,0.06874451667587439,0.027518429547033294,0.015267705020774295,0.503448275862069
