promo_type,position_code,pair_weeks,products,stores,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_basket_count,avg_buyer_count,traffic_adjusted_rank
display,2,42906,1620,106,7409,1.1575998694821144,0.0,0.31000326294690717,0.0666644656848803,0.022404397685147015,0.013416959581553587,0.39903509998601594,0.38533072297580756,1
display,7,63136,1888,107,9675,1.0972997972630443,0.0,0.35013304612265583,0.0642624959960776,0.026651073021685647,0.016083983542345075,0.47706538266599086,0.4546217688798784,2
display,3,34441,1651,105,6441,1.0699814174965852,0.0,0.3099793850352777,0.05874708562786398,0.02242198871261235,0.013503540162438776,0.42722336749804013,0.40358874597137134,3
display,6,19303,1259,99,4315,0.9860254882660715,0.0,0.2833238356732114,0.05656031836521573,0.019092336455874923,0.011344960492025939,0.3528985131844791,0.3370978604362016,4
display,1,17027,1083,104,4077,0.9207869853761678,0.0,0.31009573031068305,0.05375311244879493,0.021757144355958154,0.013313585190560964,0.4008926998296823,0.3771656780407588,5
display,9,58432,1364,108,6653,0.8847569824753442,0.0,0.2778785596933187,0.05191529075579649,0.020442713479229997,0.01220963558364565,0.3622330230010953,0.34724123767798465,6
display,4,7655,1040,87,2300,0.9632998040496417,0.0,0.2706727629000653,0.049467637886510755,0.01523600617269834,0.008636841576327572,0.3370346178967995,0.3183540169823645,7
display,5,36733,1976,107,7604,0.8032752565812743,0.0,0.27144529442190946,0.045911867818775334,0.017949856838037556,0.010718158043012531,0.3266000598916506,0.31443116543707295,8
mailer,D,118701,1677,108,15699,1.6828344327343097,0.0,0.40401513045382936,0.0985252898236883,0.035093118238535864,0.021702529476441874,0.6435581840085594,0.6036259172205795,1
mailer,C,4456,344,104,2806,1.2695444344703788,0.0,0.32248653500897667,0.07437739430316154,0.0266199992747581,0.016071465092447914,0.48271992818671455,0.45556552962298025,2
mailer,H,24056,1901,107,14962,1.2198125207848334,0.0,0.33330562021948784,0.07036977563951619,0.024367085395450818,0.014817932854830778,0.4442135018290655,0.4243431992018623,3
mailer,F,34283,651,108,7024,1.0875495143365472,0.0,0.37846746200740894,0.06117681137538662,0.029355050498791266,0.017573874698127212,0.5395968847533763,0.5207537263366683,4
mailer,L,3305,377,101,2524,1.0074583963691375,0.0,0.3161875945537065,0.05573481087023609,0.021298860879159314,0.012610804582033461,0.39636913767019666,0.3821482602118003,5
mailer,A,203533,4588,108,28603,0.9078829968604468,0.0,0.27783209602374065,0.051768589600395105,0.018239189406775394,0.010873209019583989,0.3343831221472685,0.3224292866513047,6
