traffic_quartile,promo_group,pair_weeks,avg_panel_visitors,purchase_incidence_rate,avg_buyer_penetration_rate,avg_sales_per_visitor,avg_basket_share_rate
1,none,1392,7.742097701149425,0.20617816091954022,0.03029841725962413,0.05595163690476189,0.01766125926739561
1,display_only,23579,7.770049620424954,0.21256202553119302,0.031391549650381656,0.08265172937716299,0.019107795076889932
1,mailer_only,36271,7.669074467205205,0.2903697168536848,0.04829671743528533,0.13232679831235117,0.030357875271334277
1,both,14501,7.776429211778498,0.31790910971657127,0.049228460434584155,0.134522938210063,0.03035911715198476
2,none,2713,11.987099152230003,0.2454847032805013,0.022970259866684495,0.040129333745257074,0.01336676008652766
2,display_only,42228,11.970375106564365,0.24746613621293928,0.0239367780714755,0.06216958357388867,0.014397572048314345
2,mailer_only,64561,11.986462415390097,0.30677963476402165,0.03264100252839553,0.09336966661431911,0.02000636302768166
2,both,25843,11.968347328096582,0.35297759548040086,0.03632347092858653,0.1001111168945593,0.0222618583360011
3,none,3548,16.19052987598647,0.2669109357384442,0.018766054924709227,0.03375719328184012,0.01088912668911612
3,display_only,53791,16.109944042683722,0.25322079901842315,0.018668942598785414,0.047457183098102325,0.011050039568856876
3,mailer_only,86018,16.146678602153038,0.3091097212211398,0.02504286459249473,0.06964349435988725,0.015252412374730483
3,both,33013,16.120619150031807,0.3692484778723533,0.029310774136384155,0.07627178072512271,0.01763412198027456
4,none,6510,27.227803379416283,0.2674347158218126,0.01245624262415994,0.024028190348979725,0.007238163501373698
4,display_only,73167,25.82732652698621,0.27711946642612106,0.014196480056730824,0.03731998056859523,0.00834149621693888
4,mailer_only,132396,25.60098492401583,0.31736608356747936,0.01783677704803903,0.04870285437269668,0.010691989999811446
4,both,46282,25.64173976924074,0.38963311870705675,0.02165356529254465,0.05576230968148134,0.012976091421891826
