WEEK_NO,promo_group,pair_weeks,products,stores,total_sales,avg_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate
9,none,7,7,4,19.52,2.7885714285714287,1.0,1.2857142857142858,0.19530844155844157,0.08468614718614718,0.04519375361480625
9,display_only,67,57,16,216.9,3.237313432835821,1.0,1.0597014925373134,0.25051759123960615,0.0798637929234944,0.06466553320222282
9,mailer_only,136,71,16,353.93999999999994,2.6024999999999996,1.0,1.213235294117647,0.20484150469628412,0.09780804367201425,0.07113965897742759
9,both,57,43,14,124.72000000000001,2.1880701754385967,1.0,1.105263157894737,0.15808792377213426,0.0827388255019834,0.05960286522450445
10,none,4,4,2,4.890000000000001,1.2225000000000001,1.0,1.0,0.08096153846153847,0.06334841628959276,0.03416149068322981
10,display_only,198,123,25,411.7699999999999,2.0796464646464643,0.7070707070707071,0.8585858585858586,0.16500793250124798,0.06864006091947268,0.04043453559361886
10,mailer_only,232,131,29,618.86,2.6675,0.7586206896551724,0.8275862068965517,0.20839147744792397,0.06132113006162196,0.035658251151331005
10,both,202,59,26,503.67,2.4934158415841585,0.8465346534653465,0.9851485148514851,0.20270797285368483,0.07996943238279873,0.04784482266151115
11,none,11,9,7,5.359999999999999,0.48727272727272725,0.36363636363636365,0.36363636363636365,0.02794689050786612,0.01850385386970753,0.011412829594647777
11,display_only,272,138,34,455.61999999999995,1.6750735294117645,0.5808823529411765,0.6801470588235294,0.11204465378426177,0.04615218668057854,0.027928435872324468
11,mailer_only,777,292,35,1515.71,1.9507207207207207,0.5482625482625483,0.7001287001287001,0.13134968064946645,0.045701876096692656,0.02622947838333064
11,both,390,133,34,764.0400000000002,1.9590769230769236,0.6230769230769231,0.7666666666666667,0.13380701738698111,0.05182122333222922,0.031546859290621086
12,none,64,32,34,40.379999999999995,0.6309374999999999,0.390625,0.453125,0.04426737751557097,0.032592203636036036,0.01936778271071034
12,display_only,794,302,57,978.7700000000001,1.2327078085642318,0.44584382871536526,0.5113350125944585,0.09675512518264923,0.039674871749035966,0.02388549633167021
12,mailer_only,658,206,56,1410.87,2.1441793313069906,0.5319148936170213,0.6139817629179332,0.15971328685392142,0.04557613967247773,0.026378355050688078
12,both,387,113,55,1003.45,2.592894056847545,0.5943152454780362,0.7157622739018088,0.19782423745068797,0.054001508556558296,0.03301316669910543
13,none,64,31,32,57.4,0.896875,0.46875,0.546875,0.061021733399450794,0.036819410386785704,0.021408555516414875
13,display_only,858,319,58,940.8699999999999,1.0965850815850815,0.3962703962703963,0.4627039627039627,0.07540139903255422,0.03199993660669996,0.0188708731975568
13,mailer_only,1026,278,58,1796.45,1.750925925925926,0.5175438596491229,0.7563352826510721,0.1260070075786725,0.05322061560375393,0.03227900078304865
13,both,537,138,58,791.8000000000001,1.474487895716946,0.49162011173184356,0.590316573556797,0.10427227272086445,0.04071197757066437,0.024284711401592007
14,none,107,53,42,77.22,0.7216822429906542,0.38317757009345793,0.4672897196261682,0.04513284368174551,0.0300394172137903,0.018429289641860712
14,display_only,1158,368,68,1245.6500000000003,1.0756908462867014,0.3955094991364421,0.4749568221070812,0.06657007277256168,0.03017091195472306,0.017782280357971535
14,mailer_only,1511,270,69,2375.3399999999997,1.5720317670416941,0.5234943745863666,0.6730641958967571,0.10464872664887302,0.044382196300937024,0.026646919664198833
14,both,544,142,68,1073.3799999999999,1.9731249999999998,0.5827205882352942,0.7352941176470589,0.12088772102109167,0.045515276123445594,0.02699328817351013
15,none,74,55,29,81.67999999999999,1.1037837837837836,0.4594594594594595,0.5135135135135135,0.06641207012459548,0.02988310349872216,0.016442524605698228
