CAMPAIGN,TYPE,①타겟,②방문,③대상상품구매,④쿠폰사용,최종%
24,TypeB,100,99,79,7,7.0
15,TypeC,17,17,10,2,11.8
25,TypeB,187,184,157,24,12.8
20,TypeC,244,243,165,20,8.2
23,TypeB,183,180,140,23,12.6
21,TypeB,65,62,27,4,6.2
22,TypeB,276,269,203,17,6.2
18,TypeA,1133,1103,1096,214,18.9
19,TypeB,130,127,68,15,11.5
17,TypeB,202,199,126,18,8.9
14,TypeC,224,224,165,18,8.0
16,TypeB,188,185,70,19,10.1
13,TypeA,1077,1047,1041,196,18.2
11,TypeB,214,213,68,6,2.8
12,TypeB,170,169,134,11,6.5
10,TypeB,123,0,0,10,8.1
9,TypeB,176,167,108,20,11.4
8,TypeA,1076,1056,1033,158,14.7
7,TypeB,198,194,33,5,2.5
6,TypeC,65,65,2,1,1.5
3,TypeC,12,12,8,2,16.7
5,TypeB,166,165,40,8,4.8
4,TypeB,81,79,42,6,7.4
1,TypeB,13,13,7,1,7.7
2,TypeB,48,47,19,2,4.2
30,TypeA,361,346,310,36,10.0
29,TypeB,118,116,84,13,11.0
28,TypeB,17,17,15,1,5.9
27,TypeC,12,11,8,1,8.3
26,TypeA,332,315,282,31,9.3
