COMMODITY_DESC,상품수,매출,진열률,전단률
SOFT DRINKS,846,287349.29,54.1,52.1
BEEF,225,239076.22,2.3,97.8
FLUID MILK PRODUCTS,128,182030.38,67.6,33.8
CHEESE,426,168623.91,45.9,58.6
FRZN MEAT/MEAT DINNERS,655,144212.26,32.6,77.3
BAG SNACKS,816,132159.3,85.3,19.2
BAKED BREAD/BUNS/ROLLS,597,131171.03,81.5,21.2
FROZEN PIZZA,478,129939.01,46.1,63.9
BEERS/ALES,501,127191.17,97.6,3.1
COLD CEREAL,291,100282.28,52.6,62.9
DELI MEATS,157,81698.04000000001,36.3,63.7
LUNCHMEAT,308,81379.45,48.3,60.2
ICE CREAM/MILK/SHERBTS,504,73330.37,44.7,64.9
SOUP,469,73066.9,66.2,37.2
PORK,183,72856.0,1.7,98.4
CHICKEN,55,71311.01,10.8,89.6
CANDY - PACKAGED,1827,66660.24,75.7,26.8
REFRGRATD JUICES/DRNKS,114,64365.69,39.4,68.3
CANNED JUICES,327,62536.6,48.8,57.2
MEAT - MISC,120,58698.01,88.7,16.0
CRACKERS/MISC BKD FD,455,58049.4,74.8,29.5
DOMESTIC WINE,801,54272.23,96.4,3.9
DIAPERS & DISPOSABLES,237,53912.27,33.5,74.7
YOGURT,290,53811.86,31.1,72.7
BATH TISSUES,72,52888.21,65.9,50.0
SEAFOOD - FROZEN,246,52272.270000000004,51.0,56.8
VEGETABLES - SHELF STABLE,338,50267.85,67.8,34.6
BAKED SWEET GOODS,400,49783.55,74.4,27.9
CONVENIENT BRKFST/WHLSM SNACKS,338,49041.63,48.1,58.6
COOKIES/CONES,643,48464.58,78.9,24.4
LAUNDRY DETERGENTS,199,48350.270000000004,47.0,64.0
COFFEE,322,48253.98,73.6,28.6
FROZEN MEAT,176,46560.590000000004,61.3,43.6
MEAT - SHELF STABLE,188,45639.56,57.4,45.6
DOG FOODS,370,44131.85,58.6,43.3
WATER - CARBONATED/FLVRD DRINK,188,43787.96,86.2,17.9
INFANT FORMULA,106,43260.979999999996,89.6,10.7
BREAKFAST SAUSAGE/SANDWICHES,138,41802.55,59.2,50.8
DINNER MXS:DRY,172,40874.47,68.4,35.8
SALAD MIX,101,40360.55,21.2,79.2
REFRGRATD DOUGH PRODUCTS,210,39817.68,45.9,58.9
FRZN VEGETABLE/VEG DSH,228,39526.06,38.3,68.9
BACON,53,39403.63,75.2,44.7
SALD DRSNG/SNDWCH SPRD,288,38997.67,47.9,55.7
POTATOES,37,38474.380000000005,63.5,36.7
FD WRAPS/BAGS/TRSH BG,159,37145.26,57.2,44.3
CONDIMENTS/SAUCES,335,37074.29,86.0,15.8
HISPANIC,652,36933.26,85.1,15.2
CHEESES,226,36469.76,75.5,24.6
DINNER SAUSAGE,148,36111.22,56.1,51.7
TROPICAL FRUIT,19,35955.200000000004,32.7,67.5
HAIR CARE PRODUCTS,1300,35861.32,50.6,53.8
EGGS,34,35831.32,75.0,30.0
MILK BY-PRODUCTS,76,35733.88,70.7,32.0
TOMATOES,19,35732.72,52.5,48.0
FRZN NOVELTIES/WTR ICE,235,35348.83,59.3,46.0
APPLES,75,35037.77,39.5,61.0
FRUIT - SHELF STABLE,169,34928.19,47.5,57.0
GRAPES,13,30966.48,15.4,84.6
CAKES,315,30064.4,55.3,45.2
BERRIES,35,29745.39,13.6,86.8
HOT DOGS,70,29691.34,64.6,46.7
PASTA SAUCE,153,29622.12,54.4,49.2
ORAL HYGIENE PRODUCTS,619,28623.57,74.1,29.0
DRY BN/VEG/POTATO/RICE,221,26872.01,61.9,40.8
PAPER TOWELS,49,26502.85,78.3,34.6
BAKING NEEDS,311,26017.17,94.4,6.2
BAKING MIXES,282,25825.98,63.2,40.1
HEAT/SERVE,94,25488.34,62.3,43.8
CAT FOOD,270,25398.84,43.9,57.3
CANDY - CHECKLANE,310,24972.62,79.3,24.4
CHICKEN/POULTRY,42,24971.9,2.4,97.6
HOUSEHOLD CLEANG NEEDS,183,24026.83,54.7,46.9
COLD AND FLU,489,23374.77,79.9,21.5
SUGARS/SWEETNERS,49,23092.16,93.1,9.0
SHORTENING/OIL,128,22898.94,70.5,30.5
PNT BTR/JELLY/JAMS,138,22547.05,71.7,30.4
FRZN BREAKFAST FOODS,166,22357.04,49.8,56.1
REFRIGERATED,241,21998.89,58.4,42.6
SPICES & EXTRACTS,392,21983.58,47.9,52.8
PAPER HOUSEWARES,108,21441.07,72.6,28.5
ISOTONIC DRINKS,111,21125.9,68.1,39.3
SEAFOOD - SHELF STABLE,95,20958.54,69.9,32.0
ANALGESICS,348,20797.72,58.9,43.2
VEGETABLES - ALL OTHERS,39,20508.15,59.5,40.7
MARGARINES,61,20327.149999999998,41.1,66.1
MAKEUP AND TREATMENT,2020,19809.27,18.0,82.3
MISC. DAIRY,129,19753.09,62.9,38.6
FRZN POTATOES,70,19566.329999999998,41.4,64.5
SOAP - LIQUID & BAR,385,19397.28,63.7,40.3
GREETING CARDS/WRAP/PARTY SPLY,751,19340.31,95.1,5.1
FROZEN PIE/DESSERTS,151,19281.31,48.1,60.7
DRY NOODLES/PASTA,140,19277.43,71.5,29.6
SEAFOOD-FRESH,113,18980.71,31.0,69.3
SHAVING CARE PRODUCTS,336,18887.89,65.7,36.8
PREPAID WIRELESS&ACCESSORIES,30,18298.39,78.0,22.2
BABY FOODS,273,17713.86,32.1,68.2
SMOKED MEATS,49,17596.2,31.2,69.9
IMPORTED WINE,381,17544.36,96.5,3.8
LAUNDRY ADDITIVES,130,17290.75,60.4,43.4
FROZEN BREAD/DOUGH,80,17282.08,41.9,61.9
VITAMINS,571,17215.58,44.5,58.2
FEMININE HYGIENE,300,16931.08,63.3,39.1
FACIAL TISS/DNR NAPKIN,70,16344.93,77.2,24.7
TURKEY,70,16029.67,18.9,81.7
BREAD,169,15920.960000000001,62.5,38.3
SALADS/DIPS,149,15799.25,62.5,38.0
HAND/BODY/FACIAL PRODUCTS,488,15675.53,49.9,51.9
CITRUS,44,15587.990000000002,33.2,67.2
AIR CARE,313,15550.4,65.1,36.6
VALUE ADDED FRUIT,28,15425.11,39.8,60.2
LIQUOR,256,15383.31,96.8,3.4
BUTTER,19,15215.279999999999,61.3,49.1
HOT CEREAL,70,15056.19,51.1,53.5
BREAKFAST SWEETS,124,15055.550000000001,55.6,45.7
DISHWASH DETERGENTS,89,14875.66,51.1,51.1
SNACK NUTS,140,14864.800000000001,93.5,6.9
BEANS - CANNED GLASS & MW,89,14465.43,74.0,30.1
STATIONERY & SCHOOL SUPPLIES,882,14422.91,76.3,24.4
FLORAL-FRESH CUT,133,14304.2,61.9,41.2
DEODORANTS,420,14095.24,54.0,48.9
CARROTS,9,14073.02,57.6,42.8
PWDR/CRYSTL DRNK MX,150,13925.84,83.9,17.7
CAT LITTER,58,13896.67,61.3,41.0
MAGAZINE,235,13827.07,100.0,0.0
DIETARY AID PRODUCTS,256,13622.2,68.4,33.0
WAREHOUSE SNACKS,141,13587.720000000001,77.5,26.2
PROCESSED,222,13539.960000000001,78.6,21.9
PEPPERS-ALL,19,13498.920000000002,56.0,44.0
ONIONS,18,13352.07,59.5,41.0
COOKIES,226,13281.92,85.6,15.3
BABY HBC,269,13119.23,51.6,51.3
ORGANICS FRUIT & VEGETABLES,116,12866.18,58.4,41.8
STONE FRUIT,17,12783.880000000001,0.0,100.0
PICKLE/RELISH/PKLD VEG,141,12221.51,61.5,39.1
BATTERIES,113,11768.48,78.1,25.8
AUDIO/VIDEO PRODUCTS,393,11565.05,61.3,40.4
POPCORN,126,11316.970000000001,65.5,36.1
SPRING/SUMMER SEASONAL,403,11193.93,76.5,24.1
DRY SAUCES/GRAVY,119,10991.05,91.1,9.8
PIES,126,10898.4,75.4,26.6
CHRISTMAS  SEASONAL,762,10371.52,53.3,47.9
SINUS AND ALLERGY,150,10129.710000000001,78.2,22.9
CHARCOAL AND LIGHTER FLUID,96,9529.54,93.1,8.2
DRY MIX DESSERTS,174,9167.94,81.2,19.9
ROLLS,110,9150.03,75.4,25.8
BROCCOLI/CAULIFLOWER,14,8972.47,47.4,53.2
MOLASSES/SYRUP/PANCAKE MIXS,68,8868.02,81.3,18.8
ANTACIDS,150,8838.42,58.7,43.2
DRIED FRUIT,139,8749.9,87.8,13.0
PREPARED FOOD,64,8398.220000000001,50.3,50.2
NUTS,84,8316.59,97.5,2.9
FITNESS&DIET,244,8170.89,66.7,36.0
FROZEN,197,8128.58,69.3,31.0
VEGETABLES SALAD,6,8125.43,50.5,49.7
MELONS,16,8108.51,20.1,80.1
MISC WINE,153,7982.92,98.8,1.4
MUSHROOMS,13,7769.87,55.2,45.4
TOYS AND GAMES,517,7767.67,61.6,39.0
PET CARE SUPPLIES,312,7764.22,66.1,34.0
FIRST AID PRODUCTS,259,7617.7,90.7,9.6
BROOMS AND MOPS,184,7610.83,56.4,44.3
TEAS,174,7484.07,81.0,19.1
