display,셀 수,평균수량,수량리프트,평균매출,매출리프트
7,156908,0.16686848344252683,4.942490907783015,0.32225463328829634,4.412930371803278
1,34925,0.1419613457408733,4.2047644115047556,0.2866256263421618,3.9250294678956315
2,135719,0.12032213617842749,3.5638309391823073,0.2211858324921345,3.0289019216177144
4,43549,0.06604055202186043,1.9560603726912722,0.14645410916438956,2.0055314017121986
A,26654,0.07781196068132362,2.3047186637653536,0.13484917835972088,1.8466143643122037
6,74658,0.059846232151946205,1.7725903188779328,0.12019529052479304,1.6459451418656812
9,140835,0.05733659956686903,1.6982573113637125,0.11889061667909255,1.628079037722383
3,306487,0.0559534335877215,1.6572892080115533,0.11152645952356871,1.5272348312551618
5,300288,0.0516803868286445,1.5307254955622593,0.10904791400255755,1.493293817914379
0,3255048,0.033762021328103305,1.0,0.07302508903094516,1.0
